merged,gen,predicted.value,weight
BLUE_ID_2018_1,149,3.8199983186,37.6227324733
BLUE_ID_2018_1,150,3.090279471,37.6227324733
BLUE_ID_2018_1,151,2.6700005906,37.6227324733
BLUE_ID_2018_1,152,2.1480360306,37.6227324733
BLUE_ID_2018_1,153,2.9099987467,37.6227324733
BLUE_ID_2018_1,154,3.2286686433,37.6227324733
BLUE_ID_2018_1,155,2.8800005906,73.7556073389
BLUE_ID_2018_1,156,3.4300022545,37.6227324733
BLUE_ID_2018_1,157,3.4300002546,73.7556073389
BLUE_ID_2018_1,158,3.5358794685,73.7556073389
BLUE_ID_2018_1,159,2.9100005906,73.7556073389
BLUE_ID_2018_1,160,2.0240231796,37.6227324733
BLUE_ID_2018_1,161,3.5000005906,73.7556073389
BLUE_ID_2018_1,162,2.9110832192,37.6227324733
BLUE_ID_2018_1,163,5.2574361032,73.7556073389
BLUE_ID_2018_1,164,3.9999983186,37.6227324733
BLUE_ID_2018_1,165,2.9099985906,73.7556073389
BLUE_ID_2018_1,166,2.8399996786,37.6227324733
BLUE_ID_2018_1,167,4.1199987467,73.7556073389
BLUE_ID_2018_1,168,1.7199983186,73.7556073389
BLUE_ID_2018_1,169,2.2100002546,37.6227324733
BLUE_ID_2018_1,170,3.3099985906,73.7556073389
BLUE_ID_2018_1,171,2.4776794905,73.7556073389
BLUE_ID_2018_1,172,3.7200002546,73.7556073389
BLUE_ID_2018_1,173,3.1400022545,73.7556073389
BLUE_ID_2018_1,174,3.7699983186,73.7556073389
BLUE_ID_2018_1,175,2.1306359676,73.7556073389
BLUE_ID_2018_1,176,2.8600019185,73.7556073389
BLUE_ID_2018_1,177,3.2900002546,37.6227324733
BLUE_ID_2018_1,178,2.5699996786,73.7556073389
BLUE_ID_2018_1,179,1.6799983186,73.7556073389
BLUE_ID_2018_1,180,2.9400002546,37.6227324733
BLUE_ID_2018_1,181,3.6699976786,73.7556073389
BLUE_ID_2018_1,182,2.2814359851,37.6227324733
BLUE_ID_2018_1,183,3.1299997463,37.6227324733
BLUE_ID_2018_1,184,2.6699985906,37.6227324733
BLUE_ID_2018_1,185,2.9400019185,37.6227324733
BLUE_ID_2018_1,186,3.1600005906,37.6227324733
BLUE_ID_2018_1,187,3.1032353201,73.7556073389
BLUE_ID_2018_1,188,2.9199987467,37.6227324733
BLUE_ID_2018_1,189,3.8451350194,37.6227324733
BLUE_ID_2018_1,190,4.0652794358,73.7556073389
BLUE_ID_2018_1,191,3.3099997463,73.7556073389
BLUE_ID_2018_1,192,4.5016063272,37.6227324733
BLUE_ID_2018_1,193,3.0899997463,73.7556073389
BLUE_ID_2018_1,194,1.5376794905,37.6227324733
BLUE_ID_2018_1,195,2.980279471,73.7556073389
BLUE_ID_2018_1,196,3.1699997463,73.7556073389
BLUE_ID_2018_1,197,3.4364795079,73.7556073389
BLUE_ID_2018_1,198,1.9956072142,37.6227324733
BLUE_ID_2018_1,201,3.4423259768,594.5144315345
BLUE_ID_2018_1,202,2.3967714662,558.3815566689
BLUE_ID_2018_2,1,2.6890321932,0.9839628592
BLUE_ID_2018_2,2,3.0155164173,0.9839628592
BLUE_ID_2018_2,3,2.0690321932,0.9839628592
BLUE_ID_2018_2,4,2.9590321932,0.9839628592
BLUE_ID_2018_2,5,6.3490321932,0.9839628592
BLUE_ID_2018_2,6,2.5006974134,0.9839628592
BLUE_ID_2018_2,7,3.4613113724,0.9839628592
BLUE_ID_2018_2,8,2.1990321932,0.9839628592
BLUE_ID_2018_2,9,1.5455164173,0.9839628592
BLUE_ID_2018_2,10,3.4490321932,0.9839628592
BLUE_ID_2018_2,11,2.4953657973,0.9839628592
BLUE_ID_2018_2,12,NA,NA
BLUE_ID_2018_2,13,4.8554990595,0.9821318653
BLUE_ID_2018_2,14,3.2390321932,0.9839628592
BLUE_ID_2018_2,15,2.2306974134,0.9839628592
BLUE_ID_2018_2,16,3.0270802908,0.9839628592
BLUE_ID_2018_2,17,1.1563070329,0.9839628592
BLUE_ID_2018_2,18,2.7863070329,0.9839628592
BLUE_ID_2018_2,19,2.9853657973,0.9839628592
BLUE_ID_2018_2,20,3.1453657973,0.9839628592
BLUE_ID_2018_2,21,1.0753657973,0.9839628592
BLUE_ID_2018_2,22,3.2594608166,0.9839628592
BLUE_ID_2018_2,23,4.6294608166,0.9839628592
BLUE_ID_2018_2,24,1.0463070329,0.9839628592
BLUE_ID_2018_2,25,1.9763070329,0.9839628592
BLUE_ID_2018_2,26,3.5290321932,0.9839628592
BLUE_ID_2018_2,27,5.2590321932,0.9839628592
BLUE_ID_2018_2,28,3.4606974134,0.9839628592
BLUE_ID_2018_2,29,3.2006974134,0.9839628592
BLUE_ID_2018_2,30,0.9390321932,0.9839628592
BLUE_ID_2018_2,31,1.4763070329,0.9839628592
BLUE_ID_2018_2,32,4.4263070329,0.9839628592
BLUE_ID_2018_2,33,3.9606974134,0.9839628592
BLUE_ID_2018_2,34,3.1694608166,0.9839628592
BLUE_ID_2018_2,35,1.9290321932,0.9839628592
BLUE_ID_2018_2,36,2.7013113724,0.9839628592
BLUE_ID_2018_2,37,2.9354990595,0.9821318653
BLUE_ID_2018_2,38,5.4190321932,0.9839628592
BLUE_ID_2018_2,39,4.5694608166,0.9839628592
BLUE_ID_2018_2,40,4.0070802908,0.9839628592
BLUE_ID_2018_2,41,3.2506974134,0.9839628592
BLUE_ID_2018_2,42,1.2190321932,0.9839628592
BLUE_ID_2018_2,43,2.9670802908,0.9839628592
BLUE_ID_2018_2,44,2.6270802908,0.9839628592
BLUE_ID_2018_2,45,3.3653657973,0.9839628592
BLUE_ID_2018_2,46,2.7053657973,0.9839628592
BLUE_ID_2018_2,47,3.9013113724,0.9839628592
BLUE_ID_2018_2,48,5.7070802908,0.9839628592
BLUE_ID_2018_2,49,1.4553657973,0.9839628592
BLUE_ID_2018_2,50,3.4963070329,0.9839628592
BLUE_ID_2018_2,51,4.4270802908,0.9839628592
BLUE_ID_2018_2,52,2.5054990595,0.9821318653
BLUE_ID_2018_2,53,1.7590321932,0.9839628592
BLUE_ID_2018_2,54,2.3306974134,0.9839628592
BLUE_ID_2018_2,55,3.3363070329,0.9839628592
BLUE_ID_2018_2,56,2.2194608166,0.9839628592
BLUE_ID_2018_2,57,3.2513113724,0.9839628592
BLUE_ID_2018_2,58,3.2154990595,0.9821318653
BLUE_ID_2018_2,59,3.6155164173,0.9839628592
BLUE_ID_2018_2,60,4.0106974134,0.9839628592
BLUE_ID_2018_2,61,1.8294608166,0.9839628592
BLUE_ID_2018_2,62,2.3354990595,0.9821318653
BLUE_ID_2018_2,63,4.2155164173,0.9839628592
BLUE_ID_2018_2,64,3.0690321932,0.9839628592
BLUE_ID_2018_2,65,3.9013113724,0.9839628592
BLUE_ID_2018_2,66,3.2506974134,0.9839628592
BLUE_ID_2018_2,67,3.4463070329,0.9839628592
