merged,gen,predicted.value,weight
ID_2019_1,74,29.2455355995,1.6343112022
ID_2019_1,75,27.4166749369,1.6343047054
ID_2019_1,76,32.1269583405,1.3859873262
ID_2019_1,77,27.4998041469,1.3834795104
ID_2019_1,78,26.9355741322,1.6343106298
ID_2019_1,79,28.080576846,1.6343104295
ID_2019_1,80,26.2446001506,0.8740531777
ID_2019_1,81,28.3777958375,1.3860771786
ID_2019_1,82,26.9676545072,1.5763040542
ID_2019_1,83,26.4727964691,1.3676686685
ID_2019_1,84,31.212866762,1.3860700059
ID_2019_1,85,29.1247851961,1.3860755114
ID_2019_1,86,28.7895664116,1.381122552
ID_2019_1,87,36.2877490746,1.3859873262
ID_2019_1,88,29.824845805,1.3859817349
ID_2019_1,89,33.9484897055,1.3860755114
ID_2019_1,90,21.3412916722,1.6343009262
ID_2019_1,91,24.1605892483,1.6343106298
ID_2019_1,92,28.3556991236,1.386046948
ID_2019_1,93,22.7523496629,1.6342792293
ID_2019_1,94,25.7805679567,1.6343085978
ID_2019_1,95,27.5581269577,1.0622983061
ID_2019_1,96,29.6674492715,1.3860778339
ID_2019_1,97,31.6333216377,1.6321644355
ID_2019_1,98,30.8250943733,1.6343109842
ID_2019_1,99,26.8692975621,1.3860700059
ID_2019_1,100,27.9012454561,1.6343009262
ID_2019_1,101,31.1648555375,1.6343109842
ID_2019_1,102,25.6779340979,1.6273903509
ID_2019_1,103,25.9355029494,0.8740531777
ID_2019_1,104,28.4712859561,1.6343106298
ID_2019_1,105,NA,NA
ID_2019_1,106,34.6546620485,1.6343012096
ID_2019_1,107,23.5761471438,1.3859817349
ID_2019_1,108,30.3769262324,1.3860583068
ID_2019_1,109,26.544444598,1.365603418
ID_2019_1,110,30.299824046,1.6343106298
ID_2019_1,111,34.1689995106,1.3859873262
ID_2019_1,112,26.7797939618,1.628186311
ID_2019_1,113,24.4285903106,1.6342792293
ID_2019_1,114,29.001944257,1.6343109842
ID_2019_1,115,33.0906337932,1.6343012096
ID_2019_1,116,32.3152125384,1.6334467171
ID_2019_1,117,30.6322551087,1.6269909156
ID_2019_1,118,36.1660665147,1.3811225864
ID_2019_1,119,28.4673509822,1.3860755114
ID_2019_1,120,28.3129674336,1.3860583068
ID_2019_1,121,30.0250201931,1.6343012096
ID_2019_1,122,28.6428401653,1.3855853451
ID_2019_1,123,29.5186009393,1.6326625363
ID_2019_1,124,27.5664640622,1.3834795104
ID_2019_1,125,27.6669620085,1.3860755114
ID_2019_1,126,28.2097375182,1.386046948
ID_2019_1,127,27.6755704113,1.3860583068
ID_2019_1,128,32.3323984737,1.3860771785
ID_2019_1,129,31.6651871147,1.6342810895
ID_2019_1,130,27.1374429625,1.6332034868
ID_2019_1,131,31.3451923877,1.6343012096
ID_2019_1,132,28.5186907255,1.0306142883
ID_2019_1,133,25.2671807214,1.3856522291
ID_2019_1,134,26.6317433021,1.6328445264
ID_2019_1,135,30.494723294,1.3640757507
ID_2019_1,136,26.1896975773,1.3860771785
ID_2019_1,137,27.049133506,0.8739422614
ID_2019_1,138,27.9366244677,1.6341473469
ID_2019_1,139,30.2742729745,1.6343109842
ID_2019_1,140,29.4701102479,1.6342792293
ID_2019_1,141,29.0039506809,1.3819686006
ID_2019_1,142,25.9232150113,1.3860771785
ID_2019_1,143,29.084239974,1.6329440242
ID_2019_1,144,27.3897526774,1.386046948
ID_2019_1,145,29.8951379035,1.3860778339
ID_2019_1,146,32.2250196106,1.6343085978
ID_2019_1,147,30.9607421218,1.627499184
ID_2019_1,148,30.1491479874,1.6263234874
ID_2019_1,149,28.3980962457,1.3652763059
ID_2019_1,150,27.4601753868,1.3860583068
ID_2019_1,151,30.51869668,1.3860583068
ID_2019_1,152,26.0746708702,1.3620697075
ID_2019_1,153,29.0489481809,1.3676686685
ID_2019_1,154,26.1078768795,1.3860761134
ID_2019_1,155,28.3887500822,1.6343047054
ID_2019_1,156,30.3996541574,1.3860700059
ID_2019_1,157,31.2542529744,1.6342810895
ID_2019_1,158,29.9794168924,1.6342810895
ID_2019_1,159,32.2235838541,1.627499184
ID_2019_1,160,24.6556513218,1.061649336
ID_2019_1,161,30.2906111779,1.6343047054
ID_2019_1,162,33.9902534259,1.3816695471
ID_2019_1,163,28.3662908605,1.6343109842
ID_2019_1,164,26.1910399998,1.3652763059
ID_2019_1,165,22.9353776643,1.6342792293
ID_2019_1,166,22.8108733213,1.3827484497
ID_2019_1,167,26.6477116409,1.6343112022
ID_2019_1,168,27.88818259,1.6273903509
ID_2019_1,169,26.9257571126,1.3859873262
ID_2019_1,170,25.2856425229,1.6272655519
ID_2019_1,171,27.9433496732,1.6343109842
ID_2019_1,172,30.5799020812,1.6342810895
ID_2019_1,173,32.266564357,1.6343085978
ID_2019_1,174,27.5826163677,1.6343009262
ID_2019_1,175,29.3899548622,1.573604614
ID_2019_1,176,28.0649877505,1.6343109842
ID_2019_1,177,34.2790682107,1.3595301462
ID_2019_1,178,30.0432605383,1.6343106298
ID_2019_1,179,26.1302349579,1.6343009262
ID_2019_1,180,35.8414200843,1.3595301462
ID_2019_1,181,35.9373607506,1.6343012096
ID_2019_1,182,25.7657617233,1.3859817349
ID_2019_1,183,26.9257105417,1.3855853451
ID_2019_1,184,28.8654754876,1.3649012061
ID_2019_1,185,26.7746963868,1.3640757507
ID_2019_1,186,30.1088866986,1.365603418
ID_2019_1,187,26.9281763357,1.6342810895
ID_2019_1,188,31.7381456185,1.3860778339
ID_2019_1,189,30.6013273869,1.3832729531
ID_2019_1,190,24.7253326059,1.626076436
ID_2019_1,191,26.5919470684,1.6341473469
ID_2019_1,192,28.5749783819,1.3613271622
ID_2019_1,193,31.8629623895,1.6343104295
ID_2019_1,194,28.2773344171,1.3860771786
ID_2019_1,195,29.0970850006,1.6343047054
ID_2019_1,196,32.9289542513,1.6343104295
ID_2019_1,197,31.4293564016,1.6333779937
ID_2019_1,198,27.8598593774,1.3859817349
ID_2019_1,201,29.7378001659,16.2819882792
ID_2019_1,202,28.9849086603,15.6213876457
OR_2018_1,1,23.652286791,2.8490072433
OR_2018_1,2,26.8512999585,2.8488135828
OR_2018_1,3,27.1243527572,2.8490072435
OR_2018_1,4,28.6867860498,2.8488135874
OR_2018_1,5,23.8511211283,2.8490072433
OR_2018_1,6,28.6276527508,2.8490072435
OR_2018_1,7,18.0379224329,2.8490072435
OR_2018_1,8,21.3159845188,2.8490072435
OR_2018_1,9,20.2221510676,2.8490072433
OR_2018_1,10,19.7733663771,2.8490072433
OR_2018_1,11,22.2026817916,2.8488135828
OR_2018_1,12,21.8241559958,2.8490072435
OR_2018_1,13,24.5285238343,2.8490072435
OR_2018_1,14,22.0743345335,2.8490072433
OR_2018_1,15,26.7956946994,2.8490072435
OR_2018_1,16,19.7197514461,2.8490072435
OR_2018_1,17,27.4865917228,2.8490072435
OR_2018_1,18,29.3410429881,2.8488135828
OR_2018_1,19,23.5118373839,2.8490072435
OR_2018_1,20,23.4846143951,2.8488135874
OR_2018_1,21,26.3170590239,2.8490072435
OR_2018_1,22,20.3081057327,2.8490072435
OR_2018_1,23,23.8161637676,2.8490072435
OR_2018_1,24,20.4788072178,2.8490072435
OR_2018_1,25,22.8482770415,2.8490072435
OR_2018_1,26,21.7735623903,2.8490072433
OR_2018_1,27,21.9539345218,2.8490072435
OR_2018_1,28,19.2136905693,2.8488135874
OR_2018_1,29,17.6950307971,2.8490072435
OR_2018_1,30,20.6097523907,2.8490072435
OR_2018_1,31,18.738137157,2.8490072435
OR_2018_1,32,25.7696442614,2.8488135846
OR_2018_1,33,21.6775724348,2.8490072435
OR_2018_1,34,22.6959727467,2.0949580179
OR_2018_1,35,21.4657750935,2.0949580179
OR_2018_1,36,20.5107036032,2.8490072435
OR_2018_1,37,23.0333151828,2.8490072435
OR_2018_1,38,22.8329561866,2.8488135874
OR_2018_1,39,24.4243357491,2.8490072435
OR_2018_1,40,21.1213886824,2.8490072435
OR_2018_1,41,25.5911067955,2.8490072435
OR_2018_1,42,21.4382456249,2.8490072433
OR_2018_1,43,24.8825471376,2.8490072433
OR_2018_1,44,21.363113226,2.8490072435
OR_2018_1,45,22.1756953459,2.8490072435
OR_2018_1,46,22.6237901472,2.8490072433
OR_2018_1,47,23.5054416791,2.8488135874
OR_2018_1,48,24.4157297375,2.8490072433
OR_2018_1,49,23.0643027354,2.8490072435
OR_2018_1,50,23.4015645019,2.8490072435
OR_2018_1,51,22.0090821102,2.8488135874
OR_2018_1,52,21.0733652131,2.8488135874
OR_2018_1,53,20.3349438803,2.8490072433
OR_2018_1,54,29.9237454587,2.8490072435
OR_2018_1,55,25.8885779547,2.8490072433
OR_2018_1,56,29.5139228779,2.8490072435
OR_2018_1,57,25.1620486606,2.8490072435
OR_2018_1,58,23.5382769546,2.8488135874
OR_2018_1,59,21.7197075706,2.8490072435
OR_2018_1,60,27.406785637,2.8490072435
OR_2018_1,61,26.0187808942,2.8488135874
OR_2018_1,62,22.7343952023,2.8490072435
