"trial","gen","predicted.value","std.error","status"
"ID_2019_1","83",26.8291527257652,0.69665963982725,"Estimable"
"ID_2019_1","84",30.079195082662,0.696659635934301,"Estimable"
"ID_2019_1","85",29.3479158231553,0.696659635933924,"Estimable"
"ID_2019_1","86",27.0773188273261,0.696659639822063,"Estimable"
"ID_2019_1","87",33.4881590650054,0.696659635933891,"Estimable"
"ID_2019_1","88",32.2438376277929,0.696659674152901,"Estimable"
"ID_2019_1","89",33.5197739836042,0.696659635939485,"Estimable"
"ID_2019_1","90",21.8224091827383,0.522086580524696,"Estimable"
"ID_2019_1","91",23.3943693758697,0.522086216685202,"Estimable"
"ID_2019_1","92",29.4791146913377,0.696659635939485,"Estimable"
"ID_2019_1","93",24.9753815858776,0.522086216687546,"Estimable"
