merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA_2019_2,WA,3,16,10316,185,14,1,2019,2,2.6,NA,17.7,4.45,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,17,10317,26,15,4,2019,2,1.9,NA,14.7,3.05,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,18,10318,182,15,3,2019,2,2.4,NA,17,3.03,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,19,10319,33,15,2,2019,2,1.8,NA,12.7,2.02,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,3,20,10320,36,15,1,2019,2,1.9,NA,13.7,3.01,NA,3.3,3.03,16.2,14.5,18.64,19.06,1.7,1.5
WA_2019_2,WA,4,1,10401,149,16,4,2019,2,2.3,NA,14.7,2.07,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,2,10402,115,16,3,2019,2,2.4,NA,16.7,3.49,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,3,10403,136,16,2,2019,2,1,NA,10.3,1.54,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,4,10404,22,16,1,2019,2,2.4,NA,16,2.41,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,5,10405,53,17,4,2019,2,2.7,NA,16.2,2.2,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,6,10406,165,17,3,2019,2,2.5,NA,18.6,4.29,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,7,10407,202,17,2,2019,2,2.6,17.83,16.8,3.41,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,8,10408,56,17,1,2019,2,2.9,NA,20.2,NA,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,9,10409,73,18,4,2019,2,2.2,NA,19.5,3,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,10,10410,131,18,3,2019,2,2.5,NA,21.8,3.65,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,11,10411,89,18,2,2019,2,2.2,NA,18.7,2.93,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,12,10412,94,18,1,2019,2,2.2,NA,20.8,4.26,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,13,10413,201,19,4,2019,2,1.8,18.79,15.7,2.35,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,14,10414,190,19,3,2019,2,2.9,NA,13.8,3.28,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,15,10415,68,19,2,2019,2,2,NA,15.8,2.45,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,16,10416,196,19,1,2019,2,2.4,NA,19.2,3.97,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,17,10417,100,20,4,2019,2,2,NA,10.3,1.13,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,18,10418,120,20,3,2019,2,2.5,NA,13.8,2.5,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,19,10419,61,20,2,2019,2,2.6,17.48,18.3,3.39,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,4,20,10420,179,20,1,2019,2,2.2,NA,16.8,4.13,NA,2.35,3.41,15.7,16.8,18.79,17.83,1.8,2.6
WA_2019_2,WA,5,1,10501,124,21,4,2019,2,2.2,NA,15.2,2.23,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,2,10502,174,21,3,2019,2,2.3,NA,15.9,3.9,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,3,10503,128,21,2,2019,2,1.7,NA,14.3,2.52,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,4,10504,103,21,1,2019,2,2.3,NA,17.2,3.63,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,5,10505,181,22,4,2019,2,2.5,NA,20.5,3.9,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,6,10506,108,22,3,2019,2,2.6,NA,16.3,3.05,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,7,10507,14,22,2,2019,2,2.4,NA,17.5,3,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,8,10508,201,22,1,2019,2,2.1,18.4,16.7,2.77,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,9,10509,127,23,4,2019,2,1.7,NA,13.7,2.13,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,10,10510,17,23,3,2019,2,2,NA,15.5,2.15,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
WA_2019_2,WA,5,11,10511,172,23,2,2019,2,2.1,NA,16.4,3.51,NA,2.77,3.89,16.7,16.3,18.4,18.62,2.1,2.7
