merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
WA_2018_3,WA,5,5,10505,181,22,4,2018,3,NA,NA,25,2.7,15,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,6,10506,108,22,3,2018,3,NA,NA,20,2.05,6,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,7,10507,14,22,2,2018,3,NA,NA,18,2.45,10,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,8,10508,201,22,1,2018,3,3.3,21.71,24,2.55,7,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,9,10509,127,23,4,2018,3,NA,NA,15,1.03,7,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,10,10510,17,23,3,2018,3,NA,NA,13,1.21,4,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,11,10511,172,23,2,2018,3,NA,NA,21,2.73,15,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,12,10512,23,23,1,2018,3,NA,NA,23,2.9,9,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,13,10513,99,24,4,2018,3,NA,NA,14,0.95,9,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,14,10514,202,24,3,2018,3,2.4,26.18,17.5,1.39,5,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,15,10515,67,24,2,2018,3,NA,NA,17,1.39,7,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,16,10516,138,24,1,2018,3,NA,NA,19,1.33,4,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,17,10517,130,25,4,2018,3,NA,NA,16,0.86,6,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,18,10518,87,25,3,2018,3,NA,NA,20,1.27,4,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,19,10519,161,25,2,2018,3,NA,NA,16,2.09,7,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,5,20,10520,106,25,1,2018,3,NA,NA,17,2.01,9,2.55,1.39,24,17.5,21.71,26.18,3.3,2.4
WA_2018_3,WA,6,1,10601,188,26,4,2018,3,NA,NA,21,1.75,14,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,2,10602,151,26,3,2018,3,NA,NA,16,1.72,6,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,3,10603,19,26,2,2018,3,NA,NA,12,1.63,10,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,4,10604,202,26,1,2018,3,2.6,28.82,17,2.06,8,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,5,10605,154,27,4,2018,3,NA,NA,19,1.5,9,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,6,10606,5,27,3,2018,3,NA,NA,18,1.94,6,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,7,10607,80,27,2,2018,3,NA,NA,18,2.18,6,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,8,10608,176,27,1,2018,3,NA,NA,17,2.69,6,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,9,10609,183,28,4,2018,3,NA,NA,20,1.96,13,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,10,10610,117,28,3,2018,3,NA,NA,16,1.78,6,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,11,10611,118,28,2,2018,3,NA,NA,16,2.03,5,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,12,10612,79,28,1,2018,3,NA,NA,11,1.19,5,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,13,10613,201,29,4,2018,3,3,25.43,22,1.46,8,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,14,10614,46,29,3,2018,3,NA,NA,18.5,0.48,4,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,15,10615,113,29,2,2018,3,NA,NA,17,1.51,7,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,16,10616,25,29,1,2018,3,NA,NA,27,2.52,31,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,17,10617,71,30,4,2018,3,NA,NA,27,2.1,9,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,18,10618,41,30,3,2018,3,NA,NA,12,0.88,9,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,19,10619,95,30,2,2018,3,NA,NA,13,1.56,7,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,6,20,10620,171,30,1,2018,3,NA,NA,20,2.77,8,1.46,2.06,22,17,25.43,28.82,3,2.6
WA_2018_3,WA,7,1,10701,38,31,4,2018,3,NA,NA,13,1.82,7,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,2,10702,202,31,3,2018,3,3.1,26.42,16,2.01,14,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,3,10703,150,31,2,2018,3,NA,NA,18,2.16,10,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,4,10704,143,31,1,2018,3,NA,NA,16,2.02,8,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,5,10705,72,32,4,2018,3,NA,NA,18,1.62,7,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,6,10706,11,32,3,2018,3,NA,NA,14,1.47,7,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,7,10707,135,32,2,2018,3,NA,NA,16,1.71,8,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,8,10708,54,32,1,2018,3,NA,NA,24,2.15,14,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,9,10709,27,33,4,2018,3,NA,NA,16,1.97,5,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,10,10710,45,33,3,2018,3,NA,NA,14,1.52,7,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,11,10711,64,33,2,2018,3,NA,NA,17,1.59,10,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,12,10712,163,33,1,2018,3,NA,NA,19,2.52,8,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,13,10713,8,34,4,2018,3,NA,NA,13,0.65,7,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,14,10714,51,34,3,2018,3,NA,NA,13,1.18,7,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,15,10715,201,34,2,2018,3,2.9,27.04,19,1.97,6,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,16,10716,192,34,1,2018,3,NA,NA,23.5,2.85,14,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,17,10717,18,35,4,2018,3,NA,NA,14,0.7,5,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,18,10718,129,35,3,2018,3,NA,NA,16,1.75,7,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,19,10719,74,35,2,2018,3,NA,NA,10,1.08,5,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,7,20,10720,70,35,1,2018,3,NA,NA,28,2.35,15,1.97,2.01,19,16,27.04,26.42,2.9,3.1
WA_2018_3,WA,8,1,10801,170,36,4,2018,3,NA,NA,23,2.4,17,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,2,10802,112,36,3,2018,3,2.4,27.84,12,1.22,6,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,3,10803,93,36,2,2018,3,NA,NA,13,1.64,6,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,4,10804,98,36,1,2018,3,NA,NA,19,2.32,19,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,5,10805,44,37,4,2018,3,3,26.42,16,1.66,15,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,6,10806,180,37,3,2018,3,NA,NA,17,2.01,9,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,7,10807,137,37,2,2018,3,NA,NA,14,1.07,6,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,8,10808,193,37,1,2018,3,NA,NA,21,2.57,17,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,9,10809,10,38,4,2018,3,NA,NA,21,2.34,7,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,10,10810,169,38,3,2018,3,NA,NA,15,1.94,7,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,11,10811,141,38,2,2018,3,NA,NA,23,2.09,9,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,12,10812,58,38,1,2018,3,NA,NA,16,0.83,6,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,13,10813,75,39,4,2018,3,NA,NA,13,1.45,6,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,14,10814,28,39,3,2018,3,NA,NA,10,0.31,4,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,15,10815,47,39,2,2018,3,NA,NA,15,1.26,8,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,16,10816,201,39,1,2018,3,2.4,27,19,1.46,8,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,17,10817,202,40,4,2018,3,2.6,25.52,19.5,NA,14,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,18,10818,48,40,3,2018,3,NA,NA,12,NA,5,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,19,10819,42,40,2,2018,3,NA,NA,13,0.65,5,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,8,20,10820,194,40,1,2018,3,NA,NA,21,2.31,17,1.46,NA,19,19.5,27,25.52,2.4,2.6
WA_2018_3,WA,9,1,10901,97,41,4,2018,3,NA,NA,17,1.72,6,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,2,10902,31,41,3,2018,3,NA,NA,13,0.64,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,3,10903,63,41,2,2018,3,NA,NA,13,0.89,6,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,4,10904,110,41,1,2018,3,NA,NA,25,2.4,26,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,5,10905,184,42,4,2018,3,NA,NA,18,2.46,16,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,6,10906,16,42,3,2018,3,NA,NA,12,0.65,5,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,7,10907,201,42,2,2018,3,2.5,28.71,12,0.99,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,8,10908,55,42,1,2018,3,NA,NA,18,1.71,8,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,9,10909,4,43,4,2018,3,NA,NA,17,1.76,8,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,10,10910,202,43,3,2018,3,3.4,32.24,18,1.91,10,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,11,10911,102,43,2,2018,3,NA,NA,21,2,16,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,12,10912,7,43,1,2018,3,NA,NA,18,1.58,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,13,10913,132,44,4,2018,3,NA,NA,13,1.47,7,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,14,10914,122,44,3,2018,3,NA,NA,19,2.34,10,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,15,10915,173,44,2,2018,3,NA,NA,21,2.75,8,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,16,10916,155,44,1,2018,3,NA,NA,18,2.26,8,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,17,10917,86,45,4,2018,3,NA,NA,15,2.01,5,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,18,10918,20,45,3,2018,3,NA,NA,18,0.51,6,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,19,10919,175,45,2,2018,3,NA,NA,18,2.25,13,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,9,20,10920,187,45,1,2018,3,NA,NA,21,2.22,16,0.99,1.91,12,18,28.71,32.24,2.5,3.4
WA_2018_3,WA,10,1,11001,49,46,4,2018,3,NA,NA,12,1.38,7,1.26,1.85,12,17,29.86,31.68,2.9,3.2
