merged,Location,block,Position,ID,id,row,col,Year,Cut,MSC,DM_Pct,Height_inch,Yield_MgHa,FallDormancy_cm,MSC_201,DM_201,Height_201,Yield_201,FD_201,MSC_202,DM_202,Height_202,Yield_202,FD_202
WA_2020_4,WA,3,12,10312,202,13,1,2020,4,3.9,NA,24.9,5.9,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,13,10313,66,14,4,2020,4,4.3,NA,26.7,3.69,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,14,10314,12,14,3,2020,4,3.1,NA,15,2.51,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,15,10315,197,14,2,2020,4,3.9,NA,23.8,4.64,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,16,10316,185,14,1,2020,4,3.9,NA,26.5,6.14,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,17,10317,26,15,4,2020,4,3.8,NA,24.4,3.99,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,18,10318,182,15,3,2020,4,4,NA,23.6,4.42,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,19,10319,33,15,2,2020,4,3.7,NA,23,3.99,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,3,20,10320,36,15,1,2020,4,4,NA,20.5,5.26,NA,3.5,NA,23.7,4.4,NA,3.9,NA,24.9,5.9,NA
WA_2020_4,WA,4,1,10401,149,16,4,2020,4,4.1,NA,25.9,4.67,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,2,10402,115,16,3,2020,4,4.3,NA,19.7,3.67,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,3,10403,136,16,2,2020,4,4.1,NA,20.6,3.01,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,4,10404,22,16,1,2020,4,3.8,NA,22.5,4.51,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,5,10405,53,17,4,2020,4,4.6,NA,25.2,4.21,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,6,10406,165,17,3,2020,4,4.4,NA,26.1,4.4,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,7,10407,202,17,2,2020,4,4.2,NA,26.2,4.78,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,8,10408,56,17,1,2020,4,3.9,NA,22.7,3.22,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,9,10409,73,18,4,2020,4,4.1,NA,27.6,4.96,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,10,10410,131,18,3,2020,4,3.9,NA,22.7,3.85,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
WA_2020_4,WA,4,11,10411,89,18,2,2020,4,4.3,NA,27.2,3.99,NA,4.2,NA,20.6,5.02,NA,4.2,NA,26.2,4.78,NA
