merged,Location,Block,Position,ID,Treatment,row,col,Year,Cut,MSC,DM,Height,Yield,FD,Yield_201,Yield_202,Height_201,Height_202,DM_201,DM_202,MSC_201,MSC_202
OR_2019_3,OR,4,1,30401,108,31,2,2019,3,NA,NA,27,4.24,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,2,30402,197,31,1,2019,3,NA,NA,30,4.19,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,3,30403,100,32,2,2019,3,NA,NA,24,3.59,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,4,30404,49,32,1,2019,3,NA,NA,23,3.51,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,5,30405,15,33,2,2019,3,NA,NA,24,4.18,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,6,30406,201,33,1,2019,3,2.8,17.4,24,3.69,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,7,30407,13,34,2,2019,3,NA,NA,24,3.8,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,8,30408,63,34,1,2019,3,NA,NA,27,3.04,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,9,30409,191,35,2,2019,3,NA,NA,25,4.09,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,10,30410,44,35,1,2019,3,3.6,18.48,27,4.35,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,11,30411,102,36,2,2019,3,NA,NA,28,3.14,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,12,30412,115,36,1,2019,3,NA,NA,25,3.77,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,13,30413,202,37,2,2019,3,3.2,17.92,28,3.95,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,14,30414,112,37,1,2019,3,2.8,18.71,21,3.74,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,15,30415,131,38,2,2019,3,NA,NA,30,3.61,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,16,30416,85,38,1,2019,3,NA,NA,20,3.09,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,17,30417,126,39,2,2019,3,NA,NA,21,3.84,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,18,30418,67,39,1,2019,3,NA,NA,30,4.3,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,19,30419,47,40,2,2019,3,NA,NA,25,3.44,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,4,20,30420,182,40,1,2019,3,NA,NA,28,3.83,NA,3.69,3.95,24,28,17.4,17.92,2.8,3.2
OR_2019_3,OR,5,1,30501,75,41,2,2019,3,NA,NA,21,3.32,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,2,30502,171,41,1,2019,3,NA,NA,24,4.54,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,3,30503,154,42,2,2019,3,NA,NA,26,4.09,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,4,30504,119,42,1,2019,3,NA,NA,28,4.32,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,5,30505,201,43,2,2019,3,2.8,18.21,26,4.06,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,6,30506,17,43,1,2019,3,NA,NA,23,3.7,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,7,30507,22,44,2,2019,3,NA,NA,27,3.44,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,8,30508,202,44,1,2019,3,3.7,17.66,30,4.11,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,9,30509,82,45,2,2019,3,NA,NA,26,3.45,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,10,30510,50,45,1,2019,3,NA,NA,23,3.59,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,11,30511,134,46,2,2019,3,NA,NA,26,3.72,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,12,30512,62,46,1,2019,3,NA,NA,29,3.53,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,13,30513,29,47,2,2019,3,NA,NA,20,3.12,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,14,30514,122,47,1,2019,3,NA,NA,27,3.79,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,15,30515,137,48,2,2019,3,NA,NA,22,3.13,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,16,30516,71,48,1,2019,3,NA,NA,24,3.01,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,17,30517,41,49,2,2019,3,NA,NA,24,3.55,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,18,30518,39,49,1,2019,3,NA,NA,21,3.76,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,19,30519,28,50,2,2019,3,NA,NA,21,3.6,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,5,20,30520,38,50,1,2019,3,NA,NA,25,3.83,NA,4.06,4.11,26,30,18.21,17.66,2.8,3.7
OR_2019_3,OR,6,1,30601,201,51,2,2019,3,2.5,18.46,22,4.11,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,2,30602,116,51,1,2019,3,NA,NA,26,3.67,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,3,30603,60,52,2,2019,3,NA,NA,26,4.6,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,4,30604,156,52,1,2019,3,NA,NA,30,4.62,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,5,30605,188,53,2,2019,3,NA,NA,30,3.66,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,6,30606,140,53,1,2019,3,NA,NA,25,4.08,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,7,30607,76,54,2,2019,3,NA,NA,21,3,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,8,30608,109,54,1,2019,3,NA,NA,24,3.9,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,9,30609,101,55,2,2019,3,NA,NA,23,4.13,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,10,30610,185,55,1,2019,3,NA,NA,29,5.19,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,11,30611,146,56,2,2019,3,NA,NA,29,3.72,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,12,30612,202,56,1,2019,3,3.4,17.73,30,5.26,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,13,30613,129,57,2,2019,3,NA,NA,27,3.58,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,14,30614,87,57,1,2019,3,NA,NA,30,3.64,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,15,30615,150,58,2,2019,3,NA,NA,24,4.29,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,16,30616,155,58,1,2019,3,NA,NA,31,4.35,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,17,30617,98,59,2,2019,3,NA,NA,25,3.9,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,18,30618,3,59,1,2019,3,NA,NA,35,4.62,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,19,30619,88,60,2,2019,3,NA,NA,24,3.62,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,6,20,30620,69,60,1,2019,3,NA,NA,35,5.6,NA,4.11,5.26,22,30,18.46,17.73,2.5,3.4
OR_2019_3,OR,7,1,30701,149,61,2,2019,3,NA,NA,24,4.01,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,2,30702,165,61,1,2019,3,NA,NA,31,4.93,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,3,30703,138,62,2,2019,3,NA,NA,26,3.58,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,4,30704,201,62,1,2019,3,2.9,16.78,26,4.34,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,5,30705,31,63,2,2019,3,NA,NA,25,3.35,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,6,30706,152,63,1,2019,3,NA,NA,22,3.41,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,7,30707,70,64,2,2019,3,NA,NA,34,4.3,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,8,30708,151,64,1,2019,3,NA,NA,27,4.21,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,9,30709,142,65,2,2019,3,NA,NA,23,3.06,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,10,30710,117,65,1,2019,3,NA,NA,27,3.86,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,11,30711,111,66,2,2019,3,NA,NA,25,3.13,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,12,30712,166,66,1,2019,3,NA,NA,30,3.95,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,13,30713,186,67,2,2019,3,NA,NA,28,3.52,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,14,30714,24,67,1,2019,3,NA,NA,25,3.19,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,15,30715,143,68,2,2019,3,NA,NA,27,3.38,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,16,30716,168,68,1,2019,3,NA,NA,32,3.94,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,17,30717,132,69,2,2019,3,NA,NA,23,3.84,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,18,30718,174,69,1,2019,3,NA,NA,28,4.38,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,19,30719,202,70,2,2019,3,3.6,17.96,29,4.24,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,7,20,30720,20,70,1,2019,3,NA,NA,27,3.65,NA,4.34,4.24,26,29,16.78,17.96,2.9,3.6
OR_2019_3,OR,8,1,30801,58,71,2,2019,3,NA,NA,26,3.78,NA,3.84,4.59,26,31,17.08,16.81,2.9,3
