"component","genotype","trial","blup_psi","blup_without_psi","reg_blup","loading","score"
"fac_1","108","BLUE_OR_2019_1",0.659138013954328,0.65926314093303,0.65926314093303,0.581384134125248,0.50178499632388
"fac_1","108","BLUE_ID_2019_1",1.2504367268814,0.843369892048389,0.843369892048389,0.589252597933467,0.50178499632388
"fac_1","108","BLUE_OR_2018_1",0.271841376882686,0.610822572377659,0.610822572377659,0.544798760634188,0.50178499632388
"fac_1","108","BLUE_WA_2018_1",-0.224086462709258,-0.224183758137365,-0.224183758137365,1.14790913098389,0.50178499632388
"fac_1","108","BLUE_WA_2019_1",0.579038062621078,0.579127762066759,0.579127762066759,0.707077225256508,0.50178499632388
"fac_1","109","BLUE_ID_2018_1",1.10166204429016,0.222096435953377,0.222096435953377,0.22624881167111,0.348670936543183
"fac_1","109","BLUE_OR_2019_1",0.502755942075597,0.502853141704077,0.502853141704077,0.581384134125248,0.348670936543183
"fac_1","109","BLUE_ID_2019_1",1.19632020923738,0.652720768823891,0.652720768823891,0.589252597933467,0.348670936543183
"fac_1","109","BLUE_OR_2018_1",0.12139318789401,0.465530331987999,0.465530331987999,0.544798760634188,0.348670936543183
"fac_1","109","BLUE_WA_2018_1",-0.253141286562197,-0.253220242223279,-0.253220242223279,1.14790913098389,0.348670936543183
"fac_1","109","BLUE_WA_2019_1",0.429661120745293,0.429731080478957,0.429731080478957,0.707077225256508,0.348670936543183
"fac_1","11","BLUE_ID_2018_1",-0.730340043129358,-0.184277412140508,-0.184277412140508,0.22624881167111,0.168476417424466
"fac_1","11","BLUE_OR_2018_1",-0.965036640531433,-0.336162337529577,-0.336162337529577,0.544798760634188,0.168476417424466
"fac_1","11","BLUE_ID_2019_1",-0.62556070726432,-0.595296296029013,-0.595296296029013,0.589252597933467,0.168476417424466
"fac_1","11","BLUE_WA_2019_1",-0.165290686195662,-0.165361079361339,-0.165361079361339,0.707077225256508,0.168476417424466
"fac_1","11","BLUE_OR_2019_1",-0.368055629119421,-0.368148671068885,-0.368148671068885,0.581384134125248,0.168476417424466
"fac_1","11","BLUE_WA_2018_1",1.20805994950619,1.2081767597432,1.2081767597432,1.14790913098389,0.168476417424466
"fac_1","110","BLUE_ID_2019_1",1.11515861838334,0.940298613149103,0.940298613149103,0.589252597933467,0.458200788522589
"fac_1","110","BLUE_ID_2018_1",0.335913194052319,0.318291734992939,0.318291734992939,0.22624881167111,0.458200788522589
"fac_1","110","BLUE_WA_2019_1",0.598428690360284,0.598530070274318,0.598530070274318,0.707077225256508,0.458200788522589
"fac_1","110","BLUE_WA_2018_1",-0.453233246382838,-0.45335104886508,-0.45335104886508,1.14790913098389,0.458200788522589
"fac_1","110","BLUE_OR_2018_1",0.939821280806788,0.662622471600833,0.662622471600833,0.544798760634188,0.458200788522589
"fac_1","110","BLUE_OR_2019_1",0.716062608733304,0.716203031086178,0.716203031086178,0.581384134125248,0.458200788522589
"fac_1","111","BLUE_OR_2019_1",-0.205695135314165,-0.205716158237236,-0.205716158237236,0.581384134125248,-0.505594950084288
"fac_1","111","BLUE_ID_2019_1",-0.118976170195588,-0.16644621817714,-0.16644621817714,0.589252597933467,-0.505594950084288
"fac_1","111","BLUE_ID_2018_1",-0.631814207462926,-0.0722926305529598,-0.0722926305529598,0.22624881167111,-0.505594950084288
"fac_1","111","BLUE_WA_2018_1",-0.772448915658498,-0.772467155366565,-0.772467155366565,1.14790913098389,-0.505594950084288
"fac_1","111","BLUE_OR_2018_1",-0.214191812259435,-0.194440293456938,-0.194440293456938,0.544798760634188,-0.505594950084288
"fac_1","111","BLUE_WA_2019_1",-0.303631339746025,-0.303643536613136,-0.303643536613136,0.707077225256508,-0.505594950084288
"fac_1","112","BLUE_OR_2019_1",0.278552691009014,0.278570825381864,0.278570825381864,0.581384134125248,0.884783788383544
"fac_1","112","BLUE_ID_2019_1",-0.096106569533771,0.169933693494379,0.169933693494379,0.589252597933467,0.884783788383544
"fac_1","112","BLUE_ID_2018_1",0.0314344972074914,0.0876576413650866,0.0876576413650866,0.22624881167111,0.884783788383544
"fac_1","112","BLUE_WA_2018_1",1.52904052093801,1.52909308799419,1.52909308799419,1.14790913098389,0.884783788383544
"fac_1","112","BLUE_OR_2018_1",1.1480357065411,0.265503221735952,0.265503221735952,0.544798760634188,0.884783788383544
"fac_1","112","BLUE_WA_2019_1",0.481663154959279,0.481670615502108,0.481670615502108,0.707077225256508,0.884783788383544
"fac_1","113","BLUE_ID_2018_1",1.31571023959643,0.256872346496489,0.256872346496489,0.22624881167111,-0.378289924461824
"fac_1","113","BLUE_WA_2018_1",-1.9966973389248,-1.99687624040369,-1.99687624040369,1.14790913098389,-0.378289924461824
"fac_1","113","BLUE_OR_2018_1",0.726496461704554,0.452893687032629,0.452893687032629,0.544798760634188,-0.378289924461824
"fac_1","113","BLUE_OR_2019_1",0.497666537299633,0.49780011608521,0.49780011608521,0.581384134125248,-0.378289924461824
