,env,loc,year,cut,block,gen,row,col,FDR,cov1,cov2,date_init,date,harv_days1,harv_days2,harv_days3,cut_freq,cons_days,cons_days1
117,OR_2018_3,OR,2018,3,6,98,59,2,4.59756302051311,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
118,OR_2018_3,OR,2018,3,6,3,59,1,3.68637862612487,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
119,OR_2018_3,OR,2018,3,6,88,60,2,0.952825442960146,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
120,OR_2018_3,OR,2018,3,6,69,60,1,3.68637862612487,1.86400983734839,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
121,OR_2018_3,OR,2018,3,7,149,61,2,1.86400983734839,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
122,OR_2018_3,OR,2018,3,7,165,61,1,2.77519423173663,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
123,OR_2018_3,OR,2018,3,7,138,62,2,0.497233245766026,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
124,OR_2018_3,OR,2018,3,7,201,62,1,1.86400983734839,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
125,OR_2018_3,OR,2018,3,7,31,63,2,0.497233245766026,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
126,OR_2018_3,OR,2018,3,7,152,63,1,0.1,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
127,OR_2018_3,OR,2018,3,7,70,64,2,2.77519423173663,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
128,OR_2018_3,OR,2018,3,7,151,64,1,3.68637862612487,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
129,OR_2018_3,OR,2018,3,7,142,65,2,0.1,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
130,OR_2018_3,OR,2018,3,7,117,65,1,2.77519423173663,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
131,OR_2018_3,OR,2018,3,7,111,66,2,2.31960203454251,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
132,OR_2018_3,OR,2018,3,7,166,66,1,5.50874741490135,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
133,OR_2018_3,OR,2018,3,7,186,67,2,2.77519423173663,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
134,OR_2018_3,OR,2018,3,7,24,67,1,0.952825442960146,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
135,OR_2018_3,OR,2018,3,7,143,68,2,0.952825442960146,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
136,OR_2018_3,OR,2018,3,7,168,68,1,4.59756302051311,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
137,OR_2018_3,OR,2018,3,7,132,69,2,0.497233245766026,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
138,OR_2018_3,OR,2018,3,7,174,69,1,3.23078642893075,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
139,OR_2018_3,OR,2018,3,7,202,70,2,1.40841764015427,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
140,OR_2018_3,OR,2018,3,7,20,70,1,3.23078642893075,1.86400983734839,1.40841764015427,2018-01-01,2018-10-05,50,50,277,50,86,277
141,OR_2018_3,OR,2018,3,8,58,71,2,2.77519423173663,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
142,OR_2018_3,OR,2018,3,8,66,71,1,5.50874741490135,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
143,OR_2018_3,OR,2018,3,8,36,72,2,1.40841764015427,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
144,OR_2018_3,OR,2018,3,8,19,72,1,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
145,OR_2018_3,OR,2018,3,8,169,73,2,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
146,OR_2018_3,OR,2018,3,8,118,73,1,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
147,OR_2018_3,OR,2018,3,8,201,74,2,1.86400983734839,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
148,OR_2018_3,OR,2018,3,8,91,74,1,2.77519423173663,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
149,OR_2018_3,OR,2018,3,8,105,75,2,3.23078642893075,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
150,OR_2018_3,OR,2018,3,8,72,75,1,1.40841764015427,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
151,OR_2018_3,OR,2018,3,8,158,76,2,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
152,OR_2018_3,OR,2018,3,8,141,76,1,4.14197082331899,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
153,OR_2018_3,OR,2018,3,8,135,77,2,1.40841764015427,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
154,OR_2018_3,OR,2018,3,8,162,77,1,3.68637862612487,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
155,OR_2018_3,OR,2018,3,8,57,78,2,0.1,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
156,OR_2018_3,OR,2018,3,8,12,78,1,0.1,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
157,OR_2018_3,OR,2018,3,8,56,79,2,4.59756302051311,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
158,OR_2018_3,OR,2018,3,8,202,79,1,2.31960203454251,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
159,OR_2018_3,OR,2018,3,8,61,80,2,5.96433961209547,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
160,OR_2018_3,OR,2018,3,8,184,80,1,4.14197082331899,1.86400983734839,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
161,OR_2018_3,OR,2018,3,9,96,81,2,2.77519423173663,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
162,OR_2018_3,OR,2018,3,9,114,81,1,3.68637862612487,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
163,OR_2018_3,OR,2018,3,9,64,82,2,3.68637862612487,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
164,OR_2018_3,OR,2018,3,9,164,82,1,1.40841764015427,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
165,OR_2018_3,OR,2018,3,9,196,83,2,3.68637862612487,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
166,OR_2018_3,OR,2018,3,9,68,83,1,1.40841764015427,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
167,OR_2018_3,OR,2018,3,9,202,84,2,2.31960203454251,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
168,OR_2018_3,OR,2018,3,9,30,84,1,2.31960203454251,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
169,OR_2018_3,OR,2018,3,9,170,85,2,3.23078642893075,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
170,OR_2018_3,OR,2018,3,9,120,85,1,1.86400983734839,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
171,OR_2018_3,OR,2018,3,9,16,86,2,0.1,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
172,OR_2018_3,OR,2018,3,9,86,86,1,0.952825442960146,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
173,OR_2018_3,OR,2018,3,9,33,87,2,0.1,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
174,OR_2018_3,OR,2018,3,9,8,87,1,0.1,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
175,OR_2018_3,OR,2018,3,9,23,88,2,2.77519423173663,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
176,OR_2018_3,OR,2018,3,9,201,88,1,2.31960203454251,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
177,OR_2018_3,OR,2018,3,9,128,89,2,2.77519423173663,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
178,OR_2018_3,OR,2018,3,9,194,89,1,4.59756302051311,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
179,OR_2018_3,OR,2018,3,9,52,90,2,0.1,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
180,OR_2018_3,OR,2018,3,9,73,90,1,4.14197082331899,2.31960203454251,2.31960203454251,2018-01-01,2018-10-05,50,50,277,50,86,277
181,OR_2018_3,OR,2018,3,10,148,91,2,2.31960203454251,2.31960203454251,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
182,OR_2018_3,OR,2018,3,10,157,91,1,4.14197082331899,2.31960203454251,2.77519423173663,2018-01-01,2018-10-05,50,50,277,50,86,277
