trait,model,DM,FD,He,MS,Yi
OR_2019_1,ar1_id,25.7834344757527,NA,54.2319933779458,-33.4500897583881,8.080352463544
OR_2019_1,sar_sar,23.2195609132478,NA,52.4849527794469,-38.4640791681983,9.18946237285684
OR_2019_2,ar1_ar1,NA,NA,53.4139410090846,NA,-24.3540610622418
OR_2019_2,ar1_id,NA,NA,55.7124193630065,NA,-16.3306809615965
OR_2019_2,sar_sar,NA,NA,53.9847284213475,NA,-18.5692096535312
OR_2019_3,ar1_ar1,NA,NA,57.6757794311348,NA,-12.6128248511412
OR_2019_3,ar1_id,NA,NA,62.0290182342686,NA,-11.970789337785
OR_2019_3,sar_sar,NA,NA,60.087600464658,NA,-13.897249268091
OR_2019_4,ar1_ar1,NA,NA,34.4660879615339,NA,-10.8572679773657
OR_2019_4,ar1_id,NA,NA,32.9716848481432,NA,-12.6699070710057
OR_2019_4,sar_sar,NA,NA,32.3568097815383,NA,-10.9590287195235
OR_2020_1,ar1_ar1,31.8716296070797,NA,NA,-43.4920120903093,11.1565344950602
OR_2020_1,ar1_id,32.4640535994179,NA,NA,-41.3945004601205,19.8441767550593
OR_2020_1,sar_sar,31.6432724878996,NA,NA,-44.6785496533054,18.2514967393739
OR_2020_2,ar1_ar1,NA,NA,50.5299256424392,NA,-16.0355743785924
OR_2020_2,ar1_id,NA,NA,53.7367772145159,NA,-18.5612203427589
OR_2020_2,sar_sar,NA,NA,51.3592583779127,NA,-16.4835887483431
OR_2020_3,ar1_ar1,NA,NA,35.6139771308431,NA,-19.8248995049654
OR_2020_3,ar1_id,NA,NA,45.267376760994,NA,-9.74424062785142
OR_2020_3,sar_sar,NA,NA,55.7414550168428,NA,-8.10678798561195
OR_2020_4,ar1_ar1,NA,NA,52.1289296994094,NA,-33.3026011898298
OR_2020_4,ar1_id,NA,NA,50.7672170790703,NA,-25.3967395422657
OR_2020_4,sar_sar,NA,NA,51.9370149890138,NA,-30.2879165400429
WA_2018_1,ar1_ar1,31.4410962327124,NA,46.6263890818921,-14.2345971877015,12.7566329101793
WA_2018_1,ar1_id,36.1349576476037,NA,46.4921485664378,-14.7424540571079,10.7628738450494
WA_2018_1,sar_sar,30.8633073977033,NA,46.0083482181112,-18.3808446572068,11.0539070811332
WA_2018_2,ar1_ar1,NA,NA,NA,NA,10.6899447617693
WA_2018_2,ar1_id,NA,NA,NA,NA,5.16810669413294
WA_2018_2,sar_sar,NA,NA,NA,NA,10.0036033669209
WA_2018_3,ar1_ar1,NA,63.776444332067,62.6313556576302,NA,10.7944658495289
WA_2018_3,ar1_id,NA,63.8193142210597,61.9067930950814,NA,8.98053522871763
WA_2018_3,sar_sar,NA,63.7541269447994,62.0066391065349,NA,11.620139113025
WA_2019_1,ar1_ar1,30.1990112044863,NA,58.746852747913,-48.6601551741199,17.2321077855182
WA_2019_1,ar1_id,41.1579133607099,NA,61.4896440009431,-48.6597586791086,13.4874975505333
WA_2019_1,sar_sar,33.4502627312155,NA,58.688714675648,-48.6423288117878,12.9669134976746
WA_2019_2,ar1_ar1,NA,NA,32.9438740650586,-26.5078371660913,-0.00242585145976548
WA_2019_2,ar1_id,NA,NA,33.0842171619264,-26.2591716121606,1.11347934828176
WA_2019_2,sar_sar,NA,NA,33.2474530134064,-31.2216710626803,-1.89261530165248
WA_2019_3,ar1_ar1,NA,NA,41.7654285492692,NA,2.50351908624876
WA_2019_3,ar1_id,NA,NA,40.3929368094964,NA,-2.03260511311401
WA_2019_3,sar_sar,NA,NA,37.1758244723763,NA,-0.144259974807426
WA_2019_4,ar1_ar1,NA,NA,42.1493505766698,NA,-12.8171919939231
WA_2019_4,ar1_id,NA,NA,35.9074133764177,NA,-11.9295104683222
WA_2019_4,sar_sar,NA,NA,39.948540463713,NA,-13.9918454094684
WA_2019_5,ar1_ar1,NA,41.6943406870465,56.2917768362418,NA,-0.145016606490511
WA_2019_5,ar1_id,NA,41.694340687074,56.2932162877219,NA,1.87602513431112
WA_2019_5,sar_sar,NA,42.0085083293914,53.8959150423381,NA,-0.135696703275848
WA_2020_1,ar1_ar1,13.4226672214688,NA,53.2788590098698,-33.5529973524449,24.4441487333261
WA_2020_1,ar1_id,12.6638597840969,NA,58.2734706630609,-33.3317050377008,20.9758537562605
WA_2020_1,sar_sar,11.486006000048,NA,54.8429454608078,-35.9192341430108,24.4512347095905
WA_2020_2,ar1_ar1,NA,NA,44.3639408921203,-26.4838610041732,7.17832328637408
WA_2020_2,ar1_id,NA,NA,45.6383982570778,-27.1345423093781,-0.500636210777287
WA_2020_2,sar_sar,NA,NA,43.8258873199593,-28.4404093956015,5.82789903618231
WA_2020_3,ar1_ar1,NA,NA,51.5761646466322,-21.4920839371575,4.23815516069894
WA_2020_3,ar1_id,NA,NA,49.2378428976581,-26.3037376788424,10.1544774228181
WA_2020_3,sar_sar,NA,NA,46.9236683056744,-23.4115194480835,10.15447742284
WA_2020_4,ar1_ar1,NA,NA,38.3231899694858,-40.6099890235247,-1.36616043961204
WA_2020_4,ar1_id,NA,NA,34.4402114131182,-36.320449670144,-2.08988244857653
WA_2020_4,sar_sar,NA,NA,38.0128810869247,-44.4043697988422,-1.96547644124028
WA_2020_5,ar1_ar1,NA,NA,42.4211168878534,-29.4537903969818,-2.792460642799
WA_2020_5,ar1_id,NA,NA,41.3694972752024,-30.6018736799402,-1.42287324529961
WA_2020_5,sar_sar,NA,NA,41.42375670194,-32.4657661404863,-3.63352331332705
