trait,fixedDF,varDF,NBound,AIC,BIC,loglik,model,trait1
OR_2018_1,0,1,3,65.307627001526,66.1979987594222,-31.653813500763,sar_sar,He
OR_2018_1,0,2,1,71.1661951446822,72.9469386604745,-33.5830975723411,ar1_id,He
OR_2018_1,0,1,3,68.095495940728,68.9858676986241,-33.047747970364,ar1_ar1,He
OR_2018_3,0,2,2,26.441330045116,28.2220735609083,-11.220665022558,sar_sar,He
OR_2018_3,0,2,1,25.0736973126172,26.8544408284095,-10.5368486563086,ar1_id,He
OR_2018_3,0,1,3,16.8946307507302,17.7850025086263,-7.44731537536509,ar1_ar1,He
OR_2019_1,0,1,3,52.4849527794469,53.3753245373431,-25.2424763897235,sar_sar,He
OR_2019_1,0,1,2,54.2319933779458,55.1223651358419,-26.1159966889729,ar1_id,He
OR_2019_1,0,2,2,54.3573996077249,56.1381431235173,-25.1786998038625,ar1_ar1,He
OR_2019_2,0,1,3,53.9847284213475,54.8751001792436,-25.9923642106737,sar_sar,He
OR_2019_2,0,2,1,55.7124193630065,57.4931628787988,-25.8562096815033,ar1_id,He
OR_2019_2,0,2,2,53.4139410090846,55.1946845248769,-24.7069705045423,ar1_ar1,He
OR_2019_3,0,1,3,60.087600464658,60.9779722225542,-29.043800232329,sar_sar,He
OR_2019_3,0,2,1,62.0290182342686,63.809761750061,-29.0145091171343,ar1_id,He
OR_2019_3,0,1,3,57.6757794311348,58.566151189031,-27.8378897155674,ar1_ar1,He
OR_2019_4,0,1,3,32.3568097815383,33.2471815394344,-15.1784048907691,sar_sar,He
OR_2019_4,0,2,1,32.9716848481432,34.7524283639356,-14.4858424240716,ar1_id,He
OR_2019_4,0,2,2,34.4660879615339,36.2468314773262,-15.2330439807669,ar1_ar1,He
OR_2020_2,0,1,3,51.3592583779127,52.2496301358088,-24.6796291889563,sar_sar,He
OR_2020_2,0,2,1,53.7367772145159,55.5175207303082,-24.8683886072579,ar1_id,He
OR_2020_2,0,1,3,50.5299256424392,51.4202974003354,-24.2649628212196,ar1_ar1,He
OR_2020_3,0,1,3,55.7414550168428,56.631826774739,-26.8707275084214,sar_sar,He
OR_2020_3,0,2,1,45.267376760994,47.0481202767863,-20.633688380497,ar1_id,He
OR_2020_3,0,2,2,35.6139771308431,37.3947206466355,-15.8069885654216,ar1_ar1,He
OR_2020_4,0,2,2,51.9370149890138,53.7177585048061,-23.9685074945069,sar_sar,He
OR_2020_4,0,1,2,50.7672170790703,51.6575888369664,-24.3836085395351,ar1_id,He
OR_2020_4,0,2,2,52.1289296994094,53.9096732152017,-24.0644648497047,ar1_ar1,He
WA_2018_1,0,2,2,46.0083482181112,47.5535256625907,-21.0041741090556,sar_sar,He
WA_2018_1,0,3,0,46.4921485664378,48.8099147331572,-20.2460742832189,ar1_id,He
WA_2018_1,0,4,0,46.6263890818921,49.7167439708512,-19.313194540946,ar1_ar1,He
WA_2018_3,0,1,3,62.0066391065349,62.8970108644311,-30.0033195532675,sar_sar,He
WA_2018_3,0,1,2,61.9067930950814,62.7971648529775,-29.9533965475407,ar1_id,He
WA_2018_3,0,1,3,62.6313556576302,63.5217274155264,-30.3156778288151,ar1_ar1,He
WA_2019_1,0,1,3,58.688714675648,59.5790864335442,-28.344357337824,sar_sar,He
WA_2019_1,0,2,1,61.4896440009431,63.2703875167355,-28.7448220004716,ar1_id,He
WA_2019_1,0,2,2,58.746852747913,60.5275962637054,-27.3734263739565,ar1_ar1,He
WA_2019_2,0,1,3,33.2474530134064,34.1378247713026,-15.6237265067032,sar_sar,He
WA_2019_2,0,1,2,33.0842171619264,33.9745889198225,-15.5421085809632,ar1_id,He
WA_2019_2,0,1,3,32.9438740650586,33.8342458229547,-15.4719370325293,ar1_ar1,He
