gen,ST0_MS_ID_2018_1,ST0_MS_ID_2019_1,ST0_MS_OR_2018_1,ST0_MS_OR_2019_1,ST0_MS_OR_2020_1,ST0_MS_WA_2018_1,ST0_MS_WA_2019_1,ST0_MS_WA_2019_2,ST0_MS_WA_2020_1,ST0_MS_WA_2020_2,ST0_MS_WA_2020_3,ST0_MS_WA_2020_4,ST0_MS_WA_2020_5,ST1_MS_ID_2018_1,ST1_MS_ID_2019_1,ST1_MS_OR_2018_1,ST1_MS_OR_2019_1,ST1_MS_OR_2020_1,ST1_MS_WA_2018_1,ST1_MS_WA_2019_1,ST1_MS_WA_2019_2,ST1_MS_WA_2020_1,ST1_MS_WA_2020_2,ST1_MS_WA_2020_3,ST1_MS_WA_2020_4,ST1_MS_WA_2020_5,ST3_MS_ID,ST3_MS_OR,ST3_MS_WA,ST4_MS,ST0_DM_ID_2018_1,ST0_DM_ID_2019_1,ST0_DM_OR_2018_1,ST0_DM_OR_2019_1,ST0_DM_OR_2020_1,ST0_DM_WA_2018_1,ST0_DM_WA_2019_1,ST0_DM_WA_2020_1,ST1_DM_ID_2018_1,ST1_DM_ID_2019_1,ST1_DM_OR_2018_1,ST1_DM_OR_2019_1,ST1_DM_OR_2020_1,ST1_DM_WA_2018_1,ST1_DM_WA_2019_1,ST1_DM_WA_2020_1,ST3_DM_ID,ST3_DM_OR,ST3_DM_WA,ST4_DM,ST0_PH_ID_2019_1,ST0_PH_OR_2018_1,ST0_PH_OR_2019_1,ST0_PH_OR_2019_2,ST0_PH_OR_2019_4,ST0_PH_OR_2020_2,ST0_PH_OR_2020_3,ST0_PH_WA_2018_1,ST0_PH_WA_2018_3,ST0_PH_WA_2019_1,ST0_PH_WA_2019_2,ST0_PH_WA_2019_3,ST0_PH_WA_2019_4,ST0_PH_WA_2019_5,ST0_PH_WA_2020_1,ST0_PH_WA_2020_2,ST0_PH_WA_2020_3,ST0_PH_WA_2020_4,ST0_PH_WA_2020_5,ST1_PH_ID_2019_1,ST1_PH_OR_2018_1,ST1_PH_OR_2019_1,ST1_PH_OR_2019_2,ST1_PH_OR_2019_4,ST1_PH_OR_2020_2,ST1_PH_OR_2020_3,ST1_PH_WA_2018_1,ST1_PH_WA_2018_3,ST1_PH_WA_2019_1,ST1_PH_WA_2019_2,ST1_PH_WA_2019_3,ST1_PH_WA_2019_4,ST1_PH_WA_2019_5,ST1_PH_WA_2020_1,ST1_PH_WA_2020_2,ST1_PH_WA_2020_3,ST1_PH_WA_2020_4,ST1_PH_WA_2020_5,ST3_PH_ID,ST3_PH_OR,ST3_PH_WA,ST4_PH,ST0_Yi_ID_2018_1,ST0_Yi_ID_2018_2,ST0_Yi_ID_2018_3,ST0_Yi_ID_2019_1,ST0_Yi_ID_2019_2,ST0_Yi_ID_2019_3,ST0_Yi_ID_2019_4,ST0_Yi_OR_2018_1,ST0_Yi_OR_2018_2,ST0_Yi_OR_2018_3,ST0_Yi_OR_2019_1,ST0_Yi_OR_2019_2,ST0_Yi_OR_2019_3,ST0_Yi_OR_2019_4,ST0_Yi_OR_2020_1,ST0_Yi_OR_2020_2,ST0_Yi_OR_2020_3,ST0_Yi_OR_2020_4,ST0_Yi_WA_2018_1,ST0_Yi_WA_2018_2,ST0_Yi_WA_2018_3,ST0_Yi_WA_2019_1,ST0_Yi_WA_2019_2,ST0_Yi_WA_2019_3,ST0_Yi_WA_2019_4,ST0_Yi_WA_2019_5,ST0_Yi_WA_2020_1,ST0_Yi_WA_2020_2,ST0_Yi_WA_2020_3,ST0_Yi_WA_2020_4,ST0_Yi_WA_2020_5,ST1_Yi_ID_2018_1,ST1_Yi_ID_2018_2,ST1_Yi_ID_2018_3,ST1_Yi_ID_2019_1,ST1_Yi_ID_2019_2,ST1_Yi_ID_2019_3,ST1_Yi_ID_2019_4,ST1_Yi_OR_2018_1,ST1_Yi_OR_2018_2,ST1_Yi_OR_2018_3,ST1_Yi_OR_2019_1,ST1_Yi_OR_2019_2,ST1_Yi_OR_2019_3,ST1_Yi_OR_2019_4,ST1_Yi_OR_2020_1,ST1_Yi_OR_2020_2,ST1_Yi_OR_2020_3,ST1_Yi_OR_2020_4,ST1_Yi_WA_2018_1,ST1_Yi_WA_2018_2,ST1_Yi_WA_2018_3,ST1_Yi_WA_2019_1,ST1_Yi_WA_2019_2,ST1_Yi_WA_2019_3,ST1_Yi_WA_2019_4,ST1_Yi_WA_2019_5,ST1_Yi_WA_2020_1,ST1_Yi_WA_2020_2,ST1_Yi_WA_2020_3,ST1_Yi_WA_2020_4,ST1_Yi_WA_2020_5,ST3_Yi_ID,ST3_Yi_OR,ST3_Yi_WA,ST4_Yi,ST0_R_FD_ID_2019_4,ST0_R_FD_WA_2018_3,ST0_R_FD_WA_2019_5,ST0_R_FD_OR_2018_3,ST0_R_FD_OR_2019_4,ST0_R_FD_OR_2020_4,ST1_R_FD_ID_2019_4,ST1_R_FD_OR_2018_3,ST1_R_FD_OR_2019_4,ST1_R_FD_OR_2020_4,ST1_R_FD_WA_2018_3,ST1_R_FD_WA_2019_5,ST3_R_FD_ID,ST3_R_FD_OR,ST3_R_FD_WA,ST4_R_FD
47,2.619,2.576,2.13,2.926,3.879,3.574,2.207,2.156,4.362,2.865,3.994,3.79,1.38,3.214,3.188,1.716,2.466,3.509,3.443,2.043,1.934,3.918,2.63,3.799,3.621,1.201,2.555,3.017,3.016,2.945,20.296,19.144,18.982,20.271,23.073,18.897,14.688,19.921,20.354,18.734,19.285,20.26,22.727,19.349,14.796,19.75,19.544,20.758,17.965,19.407,24.127,24.241,33.859,24.356,20.345,23.437,29.326,23.564,14.257,28.996,17,16.254,13.03,14.255,26.363,16.102,21.737,19.994,11.617,21.301,22.338,32.329,23.912,18.975,22.114,27.68,28.399,20.252,33.158,21.483,21.115,18.434,20.534,30.546,21.299,25.001,25.233,16.48,24.939,25.87,18.545,21.195,3.42,3.67,2.164,7.55,6.949,3.743,4.528,4.295,4.857,3.885,6.249,4.697,3.794,2.94,6.816,2.095,3.069,2.475,4.321,4.344,2.71,4.159,2.391,2.807,1.466,1.518,5.06,2.361,2.456,3.256,0.834,3.366,3.667,2.197,7.535,6.77,3.864,4.391,4.127,4.75,3.524,6.271,4.503,3.646,2.78,6.621,2.088,2.963,2.303,4.396,4.207,2.214,4.32,2.605,2.798,1.91,1.933,5.233,2.422,2.629,3.605,0.929,4.504,4.118,2.897,3.693,7.873,6.001,6.535,40.37,54.539,51.218,17.323,23.213,37.282,33.964,13.859,15.102,7.69,48.537,7.063,27.904
48,2.996,2.651,2.457,3.18,4.074,3.397,2.879,1.852,3.176,2.597,3.951,4.197,NA,3.492,3.252,1.962,2.696,3.565,3.269,2.679,1.695,3.085,2.442,3.735,3.99,1.631,2.726,3.194,3.177,3.106,20.072,18.393,20.604,20.145,21.862,20.827,16.706,20.953,20.162,18.267,20.569,20.167,21.929,20.966,16.772,20.708,19.214,20.888,19.482,19.942,25.783,21.565,29.332,24.555,20.176,23.939,25.464,21.901,11.434,23.855,14.7,11.585,10.022,11.875,28.993,14.727,16.261,23.309,NA,22.67,20.703,28.676,23.639,18.484,22.276,24.222,26.973,17.501,29.405,19.251,16.922,15.475,17.986,30.584,19.713,21.203,27.967,14.365,26.308,24.312,17.14,20.04,2.232,6.326,1.909,8.52,6.875,5.174,3.779,3.902,5.287,1.854,5.802,3.029,3.322,2.264,4.283,1.574,2.862,1.84,2.952,2.48,NA,5.378,2.729,1.617,1.313,0.551,3.341,0.761,1.184,2.536,-0.034,2.473,5.817,1.922,8.123,6.569,5.186,3.564,3.742,5.101,1.76,6,2.984,3.236,2.097,4.3,1.497,2.738,1.603,3.444,2.766,1.226,5.439,2.493,1.795,1.513,1.142,3.633,0.75,1.464,2.861,0.094,4.77,3.343,2.164,3.205,5.62,2.917,7.478,26.622,49.599,43.455,15.634,9.865,31.837,26.773,11.337,14.879,6.001,39.875,5.69,22.835
49,2.23,1.931,1.968,2.791,4.013,2.817,2.748,2.45,3.61,3.488,3.901,3.693,1.228,2.866,2.658,1.603,2.343,3.529,2.902,2.556,2.188,3.373,3.05,3.692,3.538,1.119,2.116,2.945,2.995,2.848,21.234,15.176,18.05,20.709,22.757,20.776,20.382,17.361,21.164,15.684,18.409,20.63,22.278,21.094,19.654,17.834,18.424,20.439,19.527,19.593,31.398,22.689,32.854,25.461,17.763,21.158,24.031,22.002,16.092,22.647,19.2,17.108,12.131,17.276,23.341,16.31,17.954,17.259,11.423,27.266,21.522,31.084,24.138,16.511,19.9,22.833,26.517,21.311,28.311,23.128,21.488,17.753,21.215,27.843,21.275,22.62,22.515,16.897,30.904,23.976,17.623,20.329,3.508,-0.048,2.179,7.47,6.828,4.731,3.048,4.438,4.915,3.259,7.094,4.146,3.934,1.865,7.195,2.347,3.67,2.385,5.089,3.582,2.062,5.929,2.525,3.442,2.394,2.133,6.064,2.937,3.008,5.476,0.934,3.429,0.629,2.162,7.59,6.762,4.783,3.159,4.27,4.798,3.003,6.885,4.014,3.745,2.022,7.015,2.231,3.496,2.187,4.868,3.855,2.24,5.918,2.826,3.324,2.592,2.295,6.291,3.132,3.23,4.753,1.012,4.036,4.126,3.446,3.82,5.363,9.358,7.75,35.558,43.785,52.406,15.901,18.5,26.898,32.033,16.187,15.83,6.269,42.861,8.59,25.339
50,2.788,2.398,2.053,2.621,4,3.814,2.187,2.91,3.275,2.465,3.958,4.601,0.978,3.335,3.045,1.599,2.178,3.599,3.627,2.028,2.597,3.15,2.312,3.767,4.371,0.877,2.544,2.912,3.034,2.93,19.514,16.857,18.609,17.727,21.893,21.442,15.35,16.962,19.63,16.804,18.704,17.804,21.494,21.428,15.359,17.107,18.217,19.334,17.965,18.541,27.416,23.246,31.395,33.978,18.292,21.642,25.158,23.043,14.987,22.873,14.699,16.701,16.427,15.915,20.155,14.477,13.477,17.995,7.468,24.03,21.865,30.094,30.441,17.006,20.365,23.907,27.544,20.408,28.621,19.633,21.174,20.876,20.423,26.493,19.741,20.057,23.112,13.845,27.667,25.258,16.878,20.092,4.108,3.651,1.782,7.094,6.77,4.518,2.667,4.229,5.016,2.685,6.582,4.186,3.478,1.961,3.585,2.281,3.568,1.825,4.17,3.506,1.951,5.775,2.695,3.032,2.462,2.259,4.562,1.739,2.061,2.656,-0.113,3.793,3.626,1.833,7.134,6.535,4.574,2.784,4.064,4.868,2.499,6.431,4.007,3.378,2.059,3.579,2.123,3.387,1.692,4.255,3.615,1.945,5.829,2.707,2.79,2.465,1.894,4.806,1.973,2.475,3.366,0.324,4.288,3.618,2.838,3.443,4.801,3.72,10.278,34.196,41.311,47.125,15.506,17.147,24.424,28.238,12.707,16.936,5.873,40.32,7.404,23.607
51,2.517,2.341,2.536,3.352,4.377,4.623,3.104,1.719,3.806,2.779,3.212,4.267,NA,3.131,3.002,2.03,2.86,3.724,4.332,2.895,1.579,3.587,2.632,3.144,4.072,1.5,2.421,3.325,3.37,3.2,20.603,17.576,21.007,18.152,22.456,23.003,23.05,20.93,20.641,17.683,20.963,18.446,22.166,22.965,22.423,20.742,19.162,20.525,22.043,20.754,26.113,22.056,38.494,27.261,13.731,22.925,28.4,19.296,14.053,27.774,13.35,10.407,12.471,13.141,24.613,14.895,15.492,24.904,NA,22.925,20.579,36.361,25.793,12.878,21.408,26.602,25.756,19.446,32.51,18.074,16.074,17.157,18.238,29.825,19.758,20.809,29.619,12.777,26.563,25.248,17.529,20.604,1.839,4.342,2.56,8.972,5.963,4.821,2.678,4.722,5.913,2.456,5.971,4.04,4.05,2.209,6.818,2.426,3.166,2.293,3.685,3.192,1.266,5.215,1.707,1.57,1.733,1.022,4.619,1.201,2.095,3.89,0.923,2.218,4.215,2.529,8.522,6.068,4.862,2.808,4.535,5.639,2.322,6.16,3.898,3.695,2.191,6.625,2.231,3.031,2.071,3.942,3.345,1.552,5.308,1.99,2.125,1.878,1.477,4.7,1.416,2.015,3.587,0.861,4.423,4.01,2.512,3.475,5.882,5.503,8.102,36.988,34.776,43.463,15.898,19.791,18.331,23.885,13.803,15.686,6.265,37.719,7.327,22.346
52,3.006,2.79,2.381,1.903,3.788,3.237,2.823,0.391,3.189,1.969,3.22,3.034,2.305,3.514,3.424,1.917,1.552,3.334,3.024,2.609,0.295,2.999,1.827,3.069,2.867,1.958,2.823,2.721,2.524,2.615,18.622,16.998,19.482,20.388,20.963,23.167,NA,16.166,18.657,16.994,19.459,20.193,20.961,22.859,NA,16.342,17.826,20.204,19.601,19.352,29.178,21.838,32.035,17.862,9.377,13.788,20.404,19.08,9.523,25.454,10.283,13.917,12.334,12.767,21.996,12.461,12.288,13.701,8.777,25.324,19.717,30.154,17.318,8.202,12.831,19.107,24.16,15.802,29.889,15.626,18.589,17.042,17.639,26.786,17.506,17.817,18.835,13.764,28.962,19.2,14.505,16.749,4.871,3.21,2.281,6.751,5.235,4.475,0.265,3.768,5.698,0.865,7.294,2.348,3.506,1.845,8.163,0.714,2.254,1.084,5.243,3.444,1.33,5.748,2.514,2.449,3.266,1.975,4.78,1.51,2.106,3.025,0.669,4.791,3.24,2.29,6.858,5.282,4.512,0.737,3.607,5.408,0.823,6.819,2.328,3.239,1.678,7.787,0.731,2.151,0.883,5.06,3.522,1.54,5.519,2.439,2.587,3.018,1.92,4.908,1.672,2.356,3.534,0.717,3.921,3.379,2.865,3.286,4.291,6.359,6.018,21.871,23.009,19.071,14.16,4.97,5.511,3.029,13.519,13.559,4.528,21.554,6.121,13.572
53,2.685,2.564,2.98,3.175,3.691,4.126,2.958,2.863,4.005,2.781,3.989,4.301,1.648,3.292,3.181,2.455,2.713,3.35,3.917,2.764,2.613,3.739,2.641,3.78,4.077,1.491,2.591,3.293,3.32,3.202,17.575,18.53,22.273,20.595,20.323,22.26,19.756,20.822,17.999,18.413,21.85,20.549,20.804,22.241,19.711,20.572,18.206,21.068,20.841,20.267,30.338,19.344,32.246,28.604,24.456,21.997,24.43,22.345,27.337,25.39,15.5,14.946,16.629,19.275,23.494,20.045,16.493,25.289,9.668,26.429,20.162,30.846,27.126,22.661,20.974,23.546,27.552,29.647,31.208,20.627,20.427,21.45,23.009,29.019,24.54,22.494,30.078,15.655,30.067,25.531,19.693,22.082,2.263,1.667,1.27,7.13,5.003,4.329,3.186,3.421,5.12,3.148,7.042,4.057,3.075,3.459,7.12,3.281,3.407,2.749,3.566,4.127,2.069,4.277,2.406,3.334,1.493,2.241,7.821,3.729,3.455,3.667,-0.166,2.592,2.01,1.415,7.21,5.463,4.397,3.302,3.289,4.979,2.935,6.7,3.972,3.325,3.114,6.896,3.009,3.27,2.505,3.896,4.216,2.381,4.465,2.774,3.396,2.08,2.47,7.374,3.6,3.352,4.108,0.499,3.733,4.155,3.313,3.707,6.552,2.87,9.65,40.006,64.133,44.981,16.569,22.868,45.987,31.553,12.234,16.879,6.937,50.52,7.139,28.795
54,2.988,2.276,2.721,2.522,4.212,4.001,2.804,2.302,3.586,3.256,3.467,4.243,1.291,3.568,2.925,2.16,2.115,3.661,3.818,2.604,2.087,3.41,2.937,3.365,4.04,1.181,2.601,3.099,3.123,3.037,21.936,19.694,20.16,23.184,21.883,23.616,22.275,21.174,21.923,19.669,20.489,23.001,22.142,23.381,21.978,21.014,20.796,21.878,22.125,21.7,20.377,30.561,30.889,35.268,29.698,33.311,29.548,24.371,25.087,27.577,22.45,21.812,20.297,12.954,29.2,20.245,23.43,30.023,12.269,18.146,27.104,30.084,33.344,28.255,31.552,28.581,29.759,29.195,33.6,26.625,26.35,25.107,23.074,32.902,25.453,27.491,34.563,18.417,21.784,31.131,22.762,25.353,2.81,3.309,3.092,4.642,7.137,6.555,4.154,3.561,2.844,2.353,6.621,4.788,3.812,3.408,6.014,4.026,3.625,2.776,3.979,3.148,2.126,5.264,3.699,3.13,3.329,2.803,4.671,4.122,2.914,4.361,1.636,2.878,3.38,3.117,5.029,6.795,6.563,4.134,3.419,2.978,2.395,6.281,4.605,3.721,3.25,5.854,3.694,3.484,2.685,4.186,3.556,2.688,5.352,3.679,3.418,3.223,2.715,5.266,3.835,3.469,4.26,1.787,4.519,4.007,3.53,3.923,14.517,12.963,15.134,41.585,78.617,70.363,23.036,24.694,61.175,54.09,21.004,22.149,13.404,63.703,14.158,38.805
55,2.694,2.034,2.67,2.844,3.792,3.744,2.908,2.94,4.342,3.326,4.273,4.022,2.384,3.317,2.746,2.236,2.401,3.344,3.603,2.717,2.68,3.922,3.068,4.002,3.82,2.15,2.386,3.114,3.438,3.201,20.265,17.087,22.848,21.365,24.102,22.455,18.228,21.416,20.376,17.405,22.784,21.347,24.029,22.426,18.254,21.121,18.89,22.72,20.6,20.968,33.764,22.499,38.776,34.554,28.56,34.482,30.357,23.568,21.581,32.463,20.15,22.07,21.493,20.268,27.466,22.307,23.637,33.906,16.143,29.763,22.665,37.338,33.211,27.261,33.016,29.47,29.634,27.12,37.096,25.071,26.97,26.289,26.218,32.681,27.157,28.143,38.177,20.969,33.401,31.805,23.844,26.861,3.704,2.915,1.082,6.796,4.477,4.684,2.115,4.417,5.477,2.903,5.208,3.499,3.967,1.878,3.926,1.989,2.863,1.706,3.52,3.418,2.141,5.705,3.465,3.568,3.668,2.455,5.15,3.717,2.924,3.836,1.045,3.551,2.999,1.192,6.809,4.706,4.701,2.217,4.229,5.276,2.727,5.083,3.345,3.59,1.77,3.84,1.895,2.732,1.572,3.767,3.642,2.416,5.773,3.351,3.479,3.429,2.761,5.422,3.473,3.357,4.152,1.304,3.702,3.434,3.445,3.499,6.002,8.635,13.636,44.293,70.094,61.751,16.454,27.147,52.262,45.291,17.078,20.213,6.821,58.617,11.228,34.188
57,1.612,2.391,1.877,3.384,3.906,2.999,2.139,1.575,3.404,2.283,4.723,3.551,1.428,2.296,3.027,1.509,2.868,3.483,2.954,2.075,1.407,3.221,2.126,4.346,3.415,1.222,2.016,3.073,2.788,2.735,20.475,16.404,18.76,18.422,21.155,20.229,16.078,18.559,20.464,16.543,18.941,18.482,21.082,20.546,16.129,18.439,18.504,19.502,18.371,18.828,21.444,26.663,30.336,20.157,12.674,11.058,21.473,18.95,17.093,20.33,21.8,15.185,12.566,15.182,21.642,15.7,16.491,20.388,10.223,18.888,23.6,28.419,19.348,11.69,11.356,20.264,24.283,21.686,26.322,24.861,19.917,17.817,20.025,26.135,20.514,21.4,25.142,16.174,22.526,20.425,17.074,18.419,2.774,2.941,1.638,8.197,6.022,3.085,3.097,4.046,5.134,0.829,5.597,3.379,3.752,2.123,6.137,1.619,2.88,1.156,4.396,3.218,1.496,3.346,1.221,2.882,2.214,2.099,5.894,2.261,2.83,4.956,0.954,2.867,3.023,1.629,8.121,5.952,3.247,3.037,3.881,4.974,0.811,5.829,3.229,3.458,1.955,5.993,1.457,2.723,1.014,4.328,3.473,1.828,3.891,1.798,2.978,2.449,2.162,5.877,2.413,2.821,4.442,0.947,3.945,3.367,2.913,3.307,7.759,6.373,8.45,24.856,32.898,29.8,16.914,7.933,15.612,13.396,14.281,15.64,7.281,29.364,7.543,18.41
58,2.824,2.474,1.736,2.499,4.156,5.592,2.796,1.83,3.266,3.205,4.506,4.017,NA,3.384,3.12,1.391,2.07,3.738,5.172,2.577,1.65,3.159,2.967,4.273,3.857,1.317,2.606,2.853,3.572,3.231,22.415,17.39,17.439,19.832,24.51,20.99,16.612,19.701,22.382,17.398,17.907,19.855,23.767,21.108,16.66,19.586,19.89,20.51,19.118,19.833,28.712,23.731,35.277,21.057,17.947,5.047,22.25,18.021,15.175,26.701,13.52,12.394,12.892,11.331,30.213,15.856,15.871,23.801,NA,24.998,21.583,33.386,20.447,16.313,5.059,21.117,23.937,20.221,31.502,18.237,17.472,17.658,17.363,31.392,20.387,20.877,28.591,13.765,28.636,20.962,17.563,19.311,3.855,4.205,2.079,4.34,5.86,4.451,2,4.586,4.7,2.957,5.957,3.754,3.45,3.884,5.554,0.876,2.225,1.523,4.217,2.478,1.645,5.478,2.607,2.208,2.331,1.541,4.424,1.253,1.158,2.592,0.535,3.841,4.114,2.11,5,5.714,4.488,2.176,4.407,4.557,2.711,5.922,3.57,3.286,3.214,5.403,0.919,2.124,1.396,4.232,2.713,1.657,5.096,2.526,2.218,2.313,1.618,4.36,1.284,1.873,2.997,0.681,3.883,3.566,2.463,3.175,5.251,4.655,6.467,41.33,39.265,41.592,15.459,24.153,22.31,23.721,12.737,14.622,5.827,40.445,6.261,23.281
59,1.056,2.182,2.653,4.008,3.603,3.155,2.701,2.795,4.135,2.699,3.19,3.771,1.733,1.901,2.852,2.249,3.47,3.179,3.051,2.527,2.54,3.725,2.535,3.089,3.557,1.583,1.731,3.419,3.018,2.913,19.897,16.733,19.466,18.778,22.123,21.081,18.746,18.126,20.002,16.867,19.528,18.834,21.835,21.12,18.64,18.249,18.435,20.066,19.336,19.384,27.629,22.227,34.796,26.653,15.828,19.935,36.688,19.747,21.09,22.517,15.8,17.486,16.686,15.273,18.75,15.16,16.87,18.963,14.441,24.194,21.653,32.914,25.236,14.943,18.967,33.755,25.631,24.893,27.663,20.786,21.929,21.213,20.82,25.32,20.626,22.296,24.04,19.176,27.831,25.89,17.917,20.956,3.084,3.615,1.298,7.376,5.717,4.427,3.847,3.924,4.678,2.411,6.201,3.91,3.291,2.464,3.908,1.892,3.422,1.667,4.05,4.562,3.035,5.784,2.695,3.384,2.802,2.256,4.938,2.914,2.699,4.506,1.336,3.123,3.594,1.421,7.312,5.722,4.477,3.695,3.764,4.559,2.239,6.031,3.739,3.265,2.345,3.895,1.817,3.241,1.552,4.158,4.389,2.46,5.845,2.828,3.289,2.872,2.488,5.364,2.996,3.164,4.331,1.4,4.155,3.469,3.388,3.59,7.868,11.363,9.353,32.441,42.871,42.673,17.357,15.47,25.757,25.136,18.016,17.009,7.724,39.171,10.095,24.238
60,1.966,2.585,2.278,3.041,4.116,3.862,2.984,2.559,3.868,3.213,3.982,4.252,1.743,2.636,3.227,1.856,2.584,3.617,3.715,2.744,2.341,3.642,2.979,3.785,4.055,1.554,2.285,3.139,3.294,3.103,21.542,20.148,17.629,21.89,21.827,22.787,21.652,19.819,21.533,20.094,18.257,21.798,21.89,22.678,21.366,19.838,20.814,20.648,21.294,20.932,29.15,27.727,26.212,19.41,22.216,24.768,29.057,NA,20.205,31.698,19.787,22.034,18.405,16.467,27.187,18.965,21.592,23.126,17.42,25.474,25.193,25.382,19.907,20.978,23.471,27.436,27.996,25.402,35.283,24.376,26.609,23.434,23.029,30.865,24.023,26.203,28.097,21.652,29.112,25.039,21.321,22.993,3.358,3.098,3.403,8.622,6.441,5.451,4.957,3.987,6.406,3.567,6.943,4.78,3.767,2.747,6.633,3.183,3.651,2.697,4.394,4.743,3.155,5.646,3.764,3.949,2.712,2.375,7.177,4.182,3.689,4.934,1.815,3.391,3.184,3.411,8.578,6.576,5.483,4.899,3.831,6.155,3.361,6.745,4.641,3.76,2.821,6.492,3.046,3.504,2.551,4.547,4.794,2.968,5.891,3.849,3.922,2.901,2.773,7.283,4.271,3.935,4.858,1.717,5.037,4.42,4.013,4.389,12.328,14.556,12.628,42.638,61.553,42.73,21.36,25.592,44.023,30.819,21.714,20.207,11.728,50.528,13.543,31.733
61,2.223,2.882,1.672,3.838,4.02,4.98,3.167,2.542,4.202,3.066,4.289,4.248,2.635,2.894,3.463,1.509,3.312,3.593,4.642,2.897,2.334,3.883,2.904,4.045,4.066,2.321,2.533,3.258,3.579,3.344,19.145,17.878,18.348,17.126,23.205,21.074,18.256,19.029,19.299,17.735,18.718,17.304,22.411,21.175,18.136,18.933,18.517,19.478,19.415,19.214,27.415,27.482,28.923,26.002,24.795,16.429,24.835,28.481,32.832,28.396,17.6,13.667,15.193,19.717,25.201,20.791,21.295,19.428,16.588,23.97,24.818,28.042,25.158,23.213,16.874,23.925,31.178,33.615,32.546,22.479,19.942,20.619,23.85,29.813,25.1,25.393,24.642,20.651,27.608,24.983,20.87,22.523,3.218,1.906,2.415,6.658,5.309,4.982,6.464,3.295,6.109,3.407,4.259,4.136,4.226,2.689,4.454,1.421,2.79,1.836,5.057,3.342,2.408,6.44,3.696,2.829,2.413,2.635,5.087,1.975,2.463,3.43,0.825,3.231,2.085,2.417,6.715,5.45,5.002,5.955,3.154,5.84,3.124,5.05,3.957,3.806,2.533,4.41,1.582,2.679,1.745,4.818,3.527,2.252,6.121,3.362,2.921,2.541,2.212,5.189,2.317,2.782,3.724,1.061,4.371,3.6,3.176,3.596,12.077,23.585,17.776,57.943,63.961,60.217,21.764,40.768,46.948,43.851,29.418,24.83,12.131,60.906,19.706,39.044
62,2.504,2.996,2.844,2.405,3.927,3.732,2.78,2.411,3.891,2.792,3.147,3.949,1.295,3.128,3.615,2.3,2.012,3.459,3.576,2.603,2.182,3.603,2.607,3.096,3.758,1.185,2.725,3.044,3.019,2.979,20.263,18.901,21.29,21.112,20.761,22.871,20.616,20.871,20.279,18.886,21.214,21.051,21.15,22.713,20.441,20.604,19.583,21.138,21.253,20.792,34.084,22.08,26.66,33.282,19.62,25.622,25.166,22.079,17.621,25.742,17.3,22.131,19.911,19.608,25.128,18.63,18.172,24.59,13.122,29.911,21.621,25.867,30.607,18.635,24.183,24.07,27.467,23.364,31.632,22.383,26.09,24.404,24.265,29.726,23.707,24.095,29.403,18.791,33.548,25.475,20.495,22.755,3.454,3.407,2.019,4.257,4.337,4.327,3.165,2.797,5.101,1.938,5.071,3.793,3.708,2.891,3.521,3.316,4.046,2.141,4.758,3.065,2.29,4.624,3.326,3.429,2.055,1.949,6.995,3.929,3.394,3.515,0.707,3.483,3.443,2.06,4.55,4.631,4.365,3.212,2.678,4.893,1.925,5.096,3.656,3.547,2.753,3.543,3.022,3.813,2.054,4.526,3.456,2.611,4.764,3.32,3.432,2.568,2.785,6.398,3.585,3.37,3.949,1.296,3.64,3.518,3.424,3.506,4.859,6.902,9.797,41.638,49.059,51.494,15.148,24.468,32.077,33.057,15.048,17.124,5.516,46.918,8.669,27.268
63,0.222,2.182,1.964,2.937,3.844,3.107,3.172,1.546,3.302,2.529,3.395,4.162,1.45,1.146,2.853,1.598,2.477,3.4,2.954,2.871,1.375,3.128,2.329,3.245,3.947,1.27,1.354,2.945,2.833,2.631,21.663,15.899,21.244,20.544,23.518,21.742,17.503,19.117,21.527,16.346,21.078,20.522,23.012,21.735,17.488,19.108,18.936,21.538,19.444,20.102,29.415,20.223,32.95,22.856,17.99,20.16,25.586,21.378,15.602,23.357,10.611,11.491,12.152,13.644,22.407,13.391,16.054,20.886,9.491,25.617,19.501,31.441,21.92,16.469,18.854,24.141,26.335,20.377,28.567,16.222,16.651,17.011,18.46,27.663,18.602,20.942,25.785,14.497,29.255,23.366,15.977,19.009,3.197,4.355,1.047,6.586,5.392,3.154,1.695,3.573,4.487,2.495,6.721,2.876,3.462,1.785,7.029,2.346,3.573,2.467,4.238,3.44,2.099,4.288,0.842,2.489,2.1,1.989,6.841,2.258,2.603,3.629,0.91,3.188,4.187,1.234,6.629,5.436,3.317,1.97,3.423,4.366,2.32,6.417,2.796,3.339,1.9,6.806,2.164,3.386,2.223,4.281,3.558,2.129,4.448,1.514,2.748,2.358,2.178,6.38,2.333,2.658,3.738,1.095,3.671,3.714,2.914,3.369,5.287,6.354,9.241,37.53,44.041,53.745,15.736,20.448,27.239,33.214,14.355,16.616,6.103,44.017,8.067,25.715
