trait,loc,year,cut,geno,min,max,mean,sd,cv
He,OR,2020,3,201,60.96,76.2,66.2247272727273,5.1168120757149,0.0772643736929681
He,OR,2020,3,202,54.864,79.248,71.7665454545455,7.13044879882938,0.0993561659359174
He,OR,2020,4,new,9.144,91.44,49.1836363636364,14.069147924408,0.286053430868522
He,OR,2020,4,201,42.672,54.864,48.768,3.85544892327729,0.0790569415042095
He,OR,2020,4,202,45.72,70.104,59.5745454545455,6.99894558292371,0.117482148282001
He,WA,2018,1,new,43.18,81.28,58.1075935828877,6.57455081139172,0.113144434419117
He,WA,2018,1,201,55.88,63.5,59.8311111111111,2.87118635952303,0.0479881838428674
He,WA,2018,1,202,50.8,68.58,59.3436363636364,5.47989648210123,0.0923417710455491
He,WA,2018,3,new,22.86,76.2,47.0415736040609,10.9225707643839,0.232189740426561
He,WA,2018,3,201,30.48,60.96,48.0290909090909,11.6649093048728,0.242871748852213
He,WA,2018,3,202,31.75,57.15,46.4127272727273,7.05653043769966,0.152038693960701
He,WA,2019,1,new,40.64,90.17,68.2460609137056,7.70057937101695,0.112835514136912
He,WA,2019,1,201,53.34,81.28,68.58,7.86990215949347,0.114755062109849
He,WA,2019,1,202,66.04,81.28,74.0063636363636,4.75498953253795,0.0642510900265547
He,WA,2019,2,new,19.05,58.928,40.176898989899,8.16275426170317,0.203170340840775
He,WA,2019,2,201,33.02,42.418,38.2616363636364,2.69113623857014,0.0703351057177414
He,WA,2019,2,202,35.56,47.752,40.7323636363636,3.45341510023708,0.0847830764516218
He,WA,2019,3,new,13.462,61.722,42.1357777777778,8.36672019936899,0.198565699759826
He,WA,2019,3,201,33.782,45.72,39.2314545454545,3.86107343529326,0.0984177996974269
He,WA,2019,3,202,37.592,52.832,45.0272727272727,5.0801154532335,0.11282307689394
He,WA,2019,4,new,10.922,59.69,39.2481313131313,9.27534686876824,0.236325821343371
He,WA,2019,4,201,31.242,45.72,39.0005454545455,4.7700140117957,0.122306341006309
He,WA,2019,4,202,37.592,49.53,41.9792727272727,3.58147369363253,0.0853152868297727
He,WA,2019,5,new,14.986,62.23,42.7566666666667,8.64914884342593,0.202287725347141
He,WA,2019,5,201,31.496,49.53,40.7323636363636,6.85261000309703,0.16823501980571
He,WA,2019,5,202,34.29,48.26,43.4109090909091,3.7613524550232,0.0866453279553846
He,WA,2020,1,new,47.752,79.756,62.8316464646465,7.03807938558738,0.112014880742422
He,WA,2020,1,201,37.846,70.358,64.4005454545455,9.38038447360913,0.145656910316542
He,WA,2020,1,202,63.246,70.866,66.5710909090909,2.33750266115551,0.0351128790175241
He,WA,2020,2,new,20.574,59.944,43.8752929292929,7.94783956885354,0.18114613118736
He,WA,2020,2,201,37.338,50.8,42.3025454545455,4.4827418476561,0.105968607786802
He,WA,2020,2,202,37.338,54.864,45.9278181818182,4.8842267313912,0.106345716490507
He,WA,2020,3,new,31.75,65.278,46.8758282828283,7.41659941989151,0.158217991907108
He,WA,2020,3,201,37.338,54.102,44.9349090909091,5.30544477785879,0.11806955628029
He,WA,2020,3,202,42.926,59.69,48.3061818181818,4.83777415384765,0.100148137810941
He,WA,2020,4,new,36.576,82.804,57.2321651515152,9.33349778328068,0.163081332998173
He,WA,2020,4,201,47.498,60.706,53.594,4.71647291946005,0.0880037489170439
He,WA,2020,4,202,44.704,66.548,58.1890909090909,7.05137537583336,0.121180366726295
He,WA,2020,5,new,15.748,55.88,32.7858915662651,8.00087127454299,0.244033969866949
He,WA,2020,5,201,24.384,47.752,31.8423636363636,7.42642550993043,0.233224693830502
He,WA,2020,5,202,28.194,42.926,35.5830909090909,4.81590235479386,0.135342440236508
MS,ID,2018,1,new,1,3.7,2.20812182741117,0.489204920733748,0.221547975596663
MS,ID,2018,1,201,1.5,3,2.2,0.4,0.181818181818182
MS,ID,2018,1,202,1.8,3.5,2.49090909090909,0.506862003812764,0.203484746056219
MS,ID,2019,1,new,2,3,2.36700507614213,0.242600000367236,0.10249238703055
MS,ID,2019,1,201,2.3,2.7,2.47272727272727,0.14893561757289,0.060231315930213
MS,ID,2019,1,202,2.2,2.8,2.49090909090909,0.157826141399614,0.0633608596859764
MS,OR,2018,1,new,1.9,3.5,2.4510101010101,0.324426850959257,0.13236455077258
MS,OR,2018,1,201,2.2,3.2,2.6,0.33466401061363,0.128716927159089
MS,OR,2018,1,202,2,3.5,2.57272727272727,0.384943915631639,0.149624843531732
MS,OR,2019,1,new,2,3.8,2.96565656565657,0.379596798155452,0.127997557961137
MS,OR,2019,1,201,2.6,3.4,3.02727272727273,0.272363393615622,0.0899698897829382
MS,OR,2019,1,202,2.6,3.5,3.12727272727273,0.319658909123175,0.102216511638224
MS,OR,2020,1,new,2.9,4.6,3.88989898989899,0.188229770753617,0.0483893723827788
