"gen","ID","OR","WA","all"
"67",3.47393485690854,4.55848513925042,3.26701045351094,3.85006023359895
"68",2.20529947275121,1.3646844607895,3.05355133171059,2.20857240717878
"69",3.80058593348266,5.15869326293804,3.18820618846957,4.12018346967222
"70",3.2501890157834,4.57442354155697,3.79596547071212,4.05162229322725
"71",3.05464235589516,1.91956235543827,2.19483539989041,2.19969080312589
"72",2.31237891445862,3.13774421934499,2.13864207721808,2.66714928782162
"73",4.20675203135942,4.98682465959031,2.90994824669924,3.98529582146115
"74",3.1244109527778,-0.000529447125096694,2.3920464555776,1.47128028259076
"75",2.58076120112527,0.236810460385691,1.39441059249679,1.01333562787932
"76",3.14005049930392,1.20780171449856,3.35999660768196,2.40620649512079
"77",2.00553984745077,1.82080184875791,1.87072469543793,1.86858849714833
"78",2.71885760414805,0.648052388739044,2.74537593502208,1.84273465363306
"79",2.74200099147954,0.778240450707497,2.34049924414538,1.72831715371974
"80",2.70699825527978,3.04957071216155,3.40039394622268,3.1509846043475
"81",2.62916926928642,2.63189781922632,1.97369825214951,2.41204320521073
"82",3.30558961227634,2.43794052170609,2.6484053587098,2.65208960764629
"83",3.75927390251161,2.32981835675035,2.5274807164974,2.63394840095957
"84",3.09358148637078,2.83652824976733,2.9014094660572,2.90105637626348
"85",2.44780412752348,0.416570400086978,2.28771242347548,1.50866465688727
"86",2.72598674126651,1.52162639925996,2.02685621824452,1.91020494196856
"87",4.13683875073553,3.77238696126279,2.28369489141753,3.1864406155395
"88",3.04540822615608,1.10059212978924,2.26263681635467,1.87644215208398
"89",3.16007386000503,3.33933329039897,3.51006220797508,3.38689433644674
"90",2.25462058263226,0.908983200380187,2.53946031423847,1.79999301806974
"91",4.10135225349026,3.69497238982618,4.20623351478088,3.97213856675877
"92",6.02241236552373,6.15301154151562,3.07724220565314,4.81616765814714
"93",3.27518898861992,1.74153587409427,1.95591554081877,2.05250617619415
"94",2.97330760703415,2.59659653671976,3.32688735219406,2.96339418196794
"95",3.79882295248389,2.50207899617338,2.69805308206833,2.77131702674415
"96",2.92273329250594,3.17086157551804,2.49450902823246,2.84554930053678
"97",2.92352290789489,0.198996771384604,1.94122047117267,1.23382569406567
"98",4.32375011180932,4.61502601467845,4.6302598103339,4.57994394097806
"99",2.49860530465721,0.124502727058919,3.80484600398707,2.04095021397074
"100",2.22907035599583,1.59428448104741,2.80392547153072,2.10329579036658
"101",3.07309649146401,2.58235554031782,3.11226359229973,2.87956484133095
"102",4.20889264842339,4.56856379511615,3.30505502815491,3.97567844546236
"103",3.60673800081041,2.904540779658,3.52427013458012,3.27045296336068
"104",5.3509906415972,4.46208595592893,4.9208824485219,4.78569940784996
"105",NA,3.32161714638508,3.2609516613547,3.29128440386989
"106",2.63380280149246,3.39811564955837,3.60319028673835,3.37681723005466
"107",5.22484344828095,4.32424769775041,5.98883006705559,5.16629667752842
"108",3.67926418562686,4.3808639306727,3.05158917947329,3.71094621658069
"109",3.68011461147864,2.3264216479453,2.49294243407295,2.59117240821905
"110",5.98041567997899,6.45312437605148,5.91827907051519,6.15637514566843
"111",2.86143630791781,2.29820590958709,2.68459701040418,2.54426358112738
"112",2.93094677748032,1.11807775346769,1.74168475788896,1.64431918736432
"113",3.74672708534433,3.3103467901381,2.57648583414414,3.05817499402729
"114",2.87285505982554,3.8093351567238,2.47101376182074,3.10198597363702
