"gen","loc","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"9","WA",1.4378363859295,0.196572951727641,1.82351229178512,1.05216048007389,"Estimable"
"10","ID",2.63716297218162,0.239954259597906,3.10795295432809,2.16637299003514,"Estimable"
"10","OR",2.34808038631549,0.217055823730933,2.77394366355137,1.9222171090796,"Estimable"
"10","WA",2.4384664153206,0.196914034751523,2.82481152567791,2.05212130496329,"Estimable"
"11","ID",2.67417977275963,0.239931173575254,3.14492446015613,2.20343508536312,"Estimable"
"11","OR",0.892249317373232,0.217140672913342,1.3182790686077,0.466219566138767,"Estimable"
"11","WA",1.92259720657117,0.167060896884729,2.25037049467004,1.5948239184723,"Estimable"
"12","ID",2.39968966352447,0.241119489389052,2.87276582518486,1.92661350186407,"Estimable"
"12","OR",0.222037661843691,0.216881179829335,0.647558287944925,-0.203482964257543,"Estimable"
"12","WA",1.2530793384675,0.231046799975697,1.70639289505047,0.799765781884536,"Estimable"
"13","ID",2.88879452815547,0.239876056344283,3.35943107560802,2.41815798070292,"Estimable"
"13","OR",1.54164717622589,0.216927026327104,1.96725775310317,1.11603659934861,"Estimable"
"13","WA",1.69336445068244,0.161956456820584,2.01112283322934,1.37560606813555,"Estimable"
"14","ID",3.06671378805852,0.239873954816337,3.53734621231566,2.59608136380139,"Estimable"
"14","OR",2.4767361915446,0.217142052366645,2.90276864926486,2.05070373382433,"Estimable"
"14","WA",2.62742115301058,0.159857917413616,2.94106220364765,2.3137801023735,"Estimable"
"15","ID",2.75959550133833,0.239884695528158,3.23024899885974,2.28894200381692,"Estimable"
"15","OR",2.7516212576047,0.216916963716579,3.17721209165167,2.32603042355773,"Estimable"
"15","WA",2.37133667104575,0.160781537706452,2.68678986363815,2.05588347845336,"Estimable"
"16","ID",2.25948767075557,0.241128699207806,2.73258190206979,1.78639343944134,"Estimable"
"16","OR",0.50609097842639,0.216877734144425,0.931604844097784,0.0805771127549959,"Estimable"
"16","WA",2.22467255613306,0.23084927639519,2.67759857167759,1.77174654058852,"Estimable"
"17","ID",3.00743301030078,0.241119912701104,3.48051000249894,2.53435601810263,"Estimable"
"17","OR",2.18217524610592,0.216868283045942,2.60767056873293,1.75667992347891,"Estimable"
"17","WA",1.92148400573304,0.231072446019693,2.37484787982491,1.46812013164116,"Estimable"
"18","ID",4.36053876676757,0.241233620540885,4.83383885361697,3.88723867991816,"Estimable"
"18","OR",2.59265265524198,0.217053621818667,3.01851161232853,2.16679369815544,"Estimable"
"18","WA",2.38734066692706,0.280169780053891,2.93703345408817,1.83764787976595,"Estimable"
"19","ID",1.84091514887097,0.24074918868666,2.31326478097794,1.368565516764,"Estimable"
"19","OR",2.15242996763674,0.216880289538276,2.57794884698794,1.72691108828554,"Estimable"
"19","WA",3.94672397837874,0.15971469672232,4.26008403018374,3.63336392657373,"Estimable"
"20","ID",2.9049975416323,0.239959003027175,3.37579683038156,2.43419825288304,"Estimable"
"20","OR",3.32073664196068,0.217151520582208,3.74678767630902,2.89468560761234,"Estimable"
"20","WA",1.87362941455575,0.159723652449477,2.18700703748717,1.56025179162434,"Estimable"
"21","ID",3.09346145684828,0.24180251172984,3.567877707558,2.61904520613856,"Estimable"
"21","OR",2.57046127402007,0.218675676834605,2.99950270118768,2.14141984685247,"Estimable"
"21","WA",1.92862002728078,0.161071891257604,2.24464289320755,1.61259716135401,"Estimable"
"22","ID",3.88185750830567,0.240921853640969,4.35454590885498,3.40916910775636,"Estimable"
"22","OR",2.48923431241777,0.217051835084481,2.91508976393389,2.06337886090165,"Estimable"
"22","WA",2.55315324148297,0.202458738933746,2.95037705508702,2.15592942787892,"Estimable"
"23","ID",2.66658937855106,0.239958762907525,3.13738819618585,2.19579056091628,"Estimable"
"23","OR",2.35284655154006,0.217053324890184,2.77870492605327,1.92698817702686,"Estimable"
"23","WA",2.31625936970825,0.196643751534158,2.70207418470306,1.93044455471344,"Estimable"
"24","ID",2.82265392846861,0.243212331191382,3.29983624334506,2.34547161359216,"Estimable"
"24","OR",1.07206738916766,0.217329000983007,1.49846663985883,0.645668138476495,"Estimable"
"24","WA",2.07860652923657,0.196796417174959,2.46472087404355,1.69249218442959,"Estimable"
"25","ID",5.49271762951477,0.239953272246864,5.96350567447964,5.02192958454991,"Estimable"
"25","OR",4.43699520561097,0.218848192956554,4.866375109212,4.00761530200995,"Estimable"
"25","WA",7.18492946038779,0.196594379074771,7.57064740667391,6.79921151410168,"Estimable"
"26","ID",3.84119741150141,0.240829188539326,4.31370400322757,3.36869081977526,"Estimable"
"26","OR",3.68385784032108,0.217318174752313,4.11023584996004,3.25747983068212,"Estimable"
"26","WA",3.12939274926823,0.196663975544664,3.51524724374846,2.743538254788,"Estimable"
"27","ID",2.42755521741174,0.24127512650547,2.90093673891606,1.95417369590742,"Estimable"
"27","OR",0.377544159990837,0.218848660165097,0.806924980254489,-0.0518366602728147,"Estimable"
"27","WA",1.8271090939225,0.280066016025256,2.37659829617843,1.27761989166658,"Estimable"
"28","ID",2.07412388483423,0.241130809224458,2.54722225599871,1.60102551366975,"Estimable"
"28","OR",0.259010282836621,0.216872319412986,0.68451352481114,-0.166492959137898,"Estimable"
"28","WA",1.02507418518634,0.231916932621615,1.48009494102271,0.570053429349975,"Estimable"
"29","ID",3.12989219539634,0.240233524475848,3.60123009491307,2.65855429587961,"Estimable"
"29","OR",0.322588745040759,0.216886923292299,0.748120639809743,-0.102943149728225,"Estimable"
"29","WA",1.60525403664281,0.165846535807077,1.93064474969999,1.27986332358564,"Estimable"
"30","ID",2.77786607627182,0.243090058470911,3.25480849221093,2.30092366033271,"Estimable"
