gen,env,predicted.value,standard.error,upper.Confidence.limit,lower.Confidence.limit,est.status
69,all,4.32,0.23,4.77,3.86,Estimable
70,all,4.02,0.23,4.47,3.56,Estimable
71,all,2.11,0.23,2.57,1.66,Estimable
72,all,2.84,0.23,3.3,2.39,Estimable
73,all,3.91,0.22,4.35,3.48,Estimable
74,all,1.36,0.23,1.81,0.91,Estimable
75,all,1.16,0.22,1.59,0.73,Estimable
76,all,2.11,0.21,2.52,1.71,Estimable
77,all,2.2,0.23,2.65,1.75,Estimable
78,all,1.85,0.22,2.28,1.42,Estimable
79,all,1.55,0.23,2,1.09,Estimable
80,all,3.05,0.23,3.5,2.6,Estimable
81,all,2.33,0.24,2.8,1.85,Estimable
82,all,2.6,0.19,2.98,2.21,Estimable
83,all,2.69,0.23,3.14,2.24,Estimable
84,all,3.02,0.22,3.46,2.58,Estimable
85,all,1.37,0.22,1.8,0.94,Estimable
86,all,1.91,0.23,2.37,1.46,Estimable
87,all,3.19,0.22,3.62,2.77,Estimable
88,all,1.77,0.23,2.22,1.31,Estimable
89,all,3.28,0.22,3.71,2.86,Estimable
90,all,1.53,0.23,1.98,1.09,Estimable
91,all,3.83,0.18,4.18,3.47,Estimable
92,all,4.82,0.23,5.27,4.37,Estimable
93,all,2.17,0.23,2.63,1.71,Estimable
94,all,2.92,0.22,3.35,2.49,Estimable
95,all,2.53,0.23,2.99,2.08,Estimable
96,all,2.79,0.24,3.26,2.32,Estimable
97,all,1.19,0.22,1.62,0.76,Estimable
98,all,4.51,0.24,4.97,4.04,Estimable
99,all,2.37,0.19,2.75,1.99,Estimable
100,all,1.82,0.24,2.28,1.35,Estimable
101,all,2.85,0.23,3.3,2.39,Estimable
102,all,3.83,0.19,4.2,3.47,Estimable
103,all,3.3,0.22,3.74,2.86,Estimable
104,all,4.6,0.19,4.98,4.21,Estimable
105,all,3.12,0.2,3.52,2.72,Estimable
106,all,3.4,0.22,3.83,2.98,Estimable
107,all,4.96,0.21,5.38,4.54,Estimable
108,all,3.76,0.2,4.15,3.36,Estimable
109,all,2.47,0.22,2.91,2.03,Estimable
110,all,5.96,0.21,6.38,5.54,Estimable
111,all,2.3,0.2,2.69,1.91,Estimable
112,all,1.7,0.22,2.14,1.27,Estimable
113,all,2.77,0.21,3.19,2.35,Estimable
114,all,3.07,0.22,3.5,2.64,Estimable
115,all,2.51,0.22,2.94,2.07,Estimable
116,all,1.83,0.21,2.24,1.41,Estimable
117,all,2.68,0.24,3.14,2.22,Estimable
118,all,2.98,0.23,3.42,2.53,Estimable
119,all,2.83,0.23,3.27,2.38,Estimable
120,all,2.56,0.23,3,2.11,Estimable
121,all,3.34,0.22,3.77,2.91,Estimable
122,all,2.75,0.23,3.2,2.3,Estimable
123,all,3.31,0.22,3.75,2.87,Estimable
124,all,1.53,0.23,1.97,1.08,Estimable
125,all,1.08,0.18,1.44,0.72,Estimable
126,all,1.59,0.24,2.05,1.12,Estimable
127,all,2.14,0.23,2.59,1.69,Estimable
128,all,2.15,0.22,2.59,1.72,Estimable
129,all,2.43,0.23,2.89,1.97,Estimable
130,all,2.44,0.23,2.88,2,Estimable
131,all,3.5,0.22,3.94,3.07,Estimable
132,all,1.54,0.23,1.99,1.1,Estimable
133,all,2.18,0.21,2.59,1.78,Estimable
134,all,2.76,0.19,3.15,2.38,Estimable
135,all,1.84,0.23,2.29,1.39,Estimable
136,all,0.94,0.22,1.37,0.51,Estimable
137,all,1.52,0.23,1.98,1.06,Estimable
138,all,1.78,0.2,2.17,1.39,Estimable
139,all,2.19,0.23,2.63,1.75,Estimable
140,all,1.84,0.23,2.3,1.39,Estimable
141,all,4.39,0.23,4.84,3.93,Estimable
142,all,0.93,0.27,1.45,0.42,Estimable
143,all,2.54,0.21,2.96,2.13,Estimable
144,all,3.11,0.22,3.54,2.69,Estimable
145,all,3.32,0.22,3.76,2.88,Estimable
146,all,4.68,0.22,5.11,4.25,Estimable
147,all,3.65,0.23,4.1,3.21,Estimable
148,all,2.91,0.2,3.29,2.52,Estimable
149,all,2.61,0.23,3.05,2.16,Estimable
150,all,2.98,0.2,3.37,2.6,Estimable
151,all,3.6,0.21,4.02,3.19,Estimable
152,all,1.73,0.21,2.14,1.33,Estimable
153,all,2.77,0.19,3.14,2.39,Estimable
154,all,3.01,0.23,3.46,2.55,Estimable
155,all,4.14,0.23,4.58,3.69,Estimable
156,all,4.93,0.2,5.34,4.53,Estimable
157,all,3.78,0.23,4.23,3.33,Estimable
158,all,4.3,0.22,4.73,3.87,Estimable
159,all,3.66,0.23,4.12,3.21,Estimable
160,all,4.56,0.23,5,4.11,Estimable
161,all,3.09,0.23,3.54,2.65,Estimable
162,all,4.66,0.2,5.04,4.28,Estimable
163,all,2.84,0.22,3.27,2.4,Estimable
164,all,2.6,0.23,3.06,2.15,Estimable
165,all,3.89,0.19,4.25,3.52,Estimable
166,all,5.46,0.24,5.93,4.99,Estimable
167,all,3.49,0.19,3.87,3.11,Estimable
168,all,5.19,0.24,5.66,4.73,Estimable
169,all,3.23,0.23,3.68,2.79,Estimable
170,all,3.9,0.23,4.36,3.45,Estimable
171,all,3.02,0.24,3.49,2.56,Estimable
172,all,2.9,0.22,3.33,2.46,Estimable
173,all,2.96,0.23,3.41,2.5,Estimable
174,all,3.35,0.23,3.8,2.89,Estimable
175,all,2.98,0.23,3.43,2.52,Estimable
176,all,2.86,0.22,3.3,2.42,Estimable
177,all,3.58,0.21,3.98,3.18,Estimable
178,all,3.67,0.24,4.13,3.21,Estimable
179,all,3.07,0.23,3.51,2.63,Estimable
180,all,3.39,0.23,3.83,2.94,Estimable
181,all,4.3,0.22,4.73,3.88,Estimable
182,all,3.45,0.24,3.92,2.98,Estimable
183,all,3.71,0.24,4.18,3.24,Estimable
184,all,3.62,0.21,4.02,3.22,Estimable
185,all,3.82,0.21,4.24,3.4,Estimable
186,all,3.62,0.22,4.06,3.18,Estimable
187,all,4.15,0.23,4.6,3.7,Estimable
188,all,4.48,0.21,4.9,4.07,Estimable
189,all,3.88,0.22,4.31,3.45,Estimable
190,all,3.83,0.2,4.23,3.44,Estimable
191,all,3.32,0.23,3.78,2.87,Estimable
192,all,4.31,0.2,4.7,3.93,Estimable
193,all,4.83,0.23,5.28,4.39,Estimable
194,all,3.91,0.2,4.31,3.52,Estimable
195,all,3.85,0.22,4.28,3.42,Estimable
196,all,3.91,0.21,4.34,3.49,Estimable
197,all,4.58,0.22,5.02,4.14,Estimable
198,all,3.7,0.23,4.16,3.25,Estimable
201,all,2.47,0.08,2.64,2.3,Estimable
202,all,3.55,0.08,3.72,3.39,Estimable
